                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2997,                 5.0531,                 4.1852,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4025,                  4.684,                 4.2439,             0.00047066,             0.00047066,             0.00047066
                      2,                 4.9176,                 3.9277,                 3.8261,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4352,                  4.668,                 4.2548,             0.00094231,             0.00094231,             0.00094231
                      3,                 4.4093,                 3.4586,                  3.509,                0.00983,                0.06998,                0.00583,                0.00133,                 4.4465,                  146.2,                 7.3482,              0.0014092,              0.0014092,              0.0014092
                      4,                 4.1128,                 3.1326,                 3.2339,                0.34623,                 0.0371,                0.00646,                0.00135,                 4.5572,                 150.33,                 5.6806,              0.0014078,              0.0014078,              0.0014078
                      5,                 3.9105,                 2.9737,                 3.0469,                0.34988,                0.04211,                0.00779,                0.00169,                 4.4558,                 6.7142,                 3.3837,              0.0014078,              0.0014078,              0.0014078
                      6,                 3.7719,                 2.8453,                 2.7628,                0.01182,                0.11049,                0.00736,                0.00176,                 3.9057,                 7.8137,                 2.6733,              0.0014007,              0.0014007,              0.0014007
                      7,                 3.7342,                 2.7612,                 2.5059,                 0.0199,                0.18916,                0.01485,                0.00343,                 4.1377,                 6.9032,                 2.6254,              0.0013936,              0.0013936,              0.0013936
                      8,                  3.544,                 2.5766,                 2.4482,                0.06413,                0.43829,                0.12711,                0.03939,                 3.3212,                 2.4701,                 2.4824,              0.0013866,              0.0013866,              0.0013866
                      9,                 3.4076,                 2.4374,                 2.2545,                0.22342,                0.21121,                0.14334,                 0.0381,                 3.1591,                 2.3554,                 2.1755,              0.0013795,              0.0013795,              0.0013795
                     10,                  3.289,                  2.335,                 2.1649,                0.24844,                0.29905,                0.20394,                 0.0767,                 2.8757,                 1.9756,                  2.092,              0.0013724,              0.0013724,              0.0013724
                     11,                 3.1428,                 2.1795,                 2.0732,                0.24136,                 0.3375,                0.22581,                0.08444,                 2.8523,                  1.949,                 2.0075,              0.0013653,              0.0013653,              0.0013653
                     12,                 2.9839,                  2.104,                  1.958,                0.29975,                0.34817,                 0.2364,                0.09866,                 2.8462,                 1.8836,                 1.9251,              0.0013583,              0.0013583,              0.0013583
