                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,5.2917,4.8766,4.2474,8.00E-05,0.02222,5.00E-05,1.00E-05,5.4788,5.626,4.1999,0.00046877,0.00046877,0.00046877
2,5.0503,4.2839,3.9681,8.00E-05,0.02222,5.00E-05,1.00E-05,5.2177,6.1286,4.1959,0.00093575,0.00093575,0.00093575
3,4.7948,3.8614,3.6719,0.3675,0.00414,0.00178,0.00039,5.335,5.4028,4.0015,0.0013933,0.0013933,0.0013933
4,4.3929,3.4184,3.4583,0.00882,0.05347,0.00503,0.00125,4.2652,8.0147,3.4555,0.0013866,0.0013866,0.0013866
5,4.1514,3.2445,3.3123,0.01168,0.03618,0.00629,0.00161,4.2278,13.579,3.9639,0.0013866,0.0013866,0.0013866
6,4.0045,3.1125,3.0893,0.00983,0.05769,0.00513,0.00118,4.3389,24.718,4.3434,0.0013724,0.0013724,0.0013724
7,3.8629,2.8844,2.9413,0.01626,0.10605,0.00946,0.00251,3.8031,3.6404,2.7945,0.0013583,0.0013583,0.0013583
8,3.7583,2.7915,2.7604,0.34951,0.10491,0.0089,0.0023,3.9271,8.4377,2.7713,0.0013441,0.0013441,0.0013441
9,3.7533,2.7147,2.5231,0.00727,0.23703,0.01636,0.00299,4.6321,3.4866,3.0418,0.00133,0.00133,0.00133
10,3.6175,2.657,2.4931,0.14133,0.1838,0.09169,0.0349,3.4479,2.7547,2.2835,0.0013158,0.0013158,0.0013158
11,3.527,2.5327,2.3207,0.21535,0.20009,0.11858,0.03951,3.2931,2.3892,2.2491,0.0013017,0.0013017,0.0013017
12,3.384,2.4363,2.2851,0.19682,0.18233,0.13891,0.03793,3.3276,2.3526,2.2278,0.0012875,0.0012875,0.0012875
13,3.2844,2.347,2.1685,0.24643,0.25436,0.1883,0.06562,3.0548,2.2423,2.0909,0.0012734,0.0012734,0.0012734
14,3.222,2.2376,2.1454,0.28795,0.32499,0.22392,0.08813,3.0126,2.3076,1.958,0.0012592,0.0012592,0.0012592
15,3.123,2.1566,2.0545,0.31636,0.29028,0.2165,0.09302,3.1174,2.0519,2.0414,0.0012451,0.0012451,0.0012451
16,3.0739,2.112,2.0726,0.23062,0.33008,0.2251,0.09752,2.8773,1.9722,1.8317,0.0012309,0.0012309,0.0012309
17,3.0044,2.0749,1.9033,0.28692,0.3306,0.28278,0.1187,2.7457,1.8108,1.8513,0.0012168,0.0012168,0.0012168
18,2.8715,1.9753,1.8891,0.35789,0.29204,0.30303,0.13783,2.8376,1.7922,1.8071,0.0012026,0.0012026,0.0012026
19,2.7666,1.8651,1.8235,0.38045,0.42659,0.33024,0.1559,2.5744,1.6927,1.6736,0.0011885,0.0011885,0.0011885
20,2.6785,1.8467,1.741,0.39694,0.43824,0.36334,0.16994,2.5048,1.7338,1.6503,0.0011744,0.0011744,0.0011744
21,2.6406,1.7422,1.7334,0.52621,0.36493,0.37645,0.17773,2.5246,1.7014,1.643,0.0011602,0.0011602,0.0011602
22,2.6748,1.8057,1.7417,0.41994,0.40516,0.37439,0.18639,2.4445,1.6309,1.603,0.0011461,0.0011461,0.0011461
23,2.577,1.7352,1.682,0.59351,0.39484,0.42227,0.20065,2.382,1.6315,1.5729,0.0011319,0.0011319,0.0011319
24,2.5038,1.7202,1.6706,0.56389,0.37063,0.40426,0.18736,2.3604,1.6179,1.5128,0.0011178,0.0011178,0.0011178
25,2.5592,1.6938,1.6836,0.57714,0.3832,0.43275,0.22341,2.3349,1.5288,1.5098,0.0011036,0.0011036,0.0011036
26,2.4653,1.6603,1.6516,0.55604,0.38644,0.43781,0.22974,2.2792,1.4492,1.5121,0.0010895,0.0010895,0.0010895
27,2.4243,1.6513,1.6294,0.59628,0.41928,0.47543,0.23867,2.254,1.4142,1.485,0.0010753,0.0010753,0.0010753
28,2.4098,1.5642,1.6097,0.55347,0.45693,0.44526,0.22568,2.2869,1.4402,1.5275,0.0010612,0.0010612,0.0010612
29,2.3756,1.5733,1.5939,0.54253,0.43913,0.45738,0.23463,2.1389,1.3623,1.448,0.001047,0.001047,0.001047
30,2.4557,1.5638,1.5625,0.62286,0.41281,0.49,0.24039,2.1855,1.415,1.4404,0.0010329,0.0010329,0.0010329
31,2.3917,1.5802,1.5796,0.51809,0.41775,0.4813,0.25018,2.317,1.431,1.4808,0.0010187,0.0010187,0.0010187
32,2.3528,1.5199,1.5162,0.59808,0.49102,0.54811,0.29399,2.0575,1.3436,1.3996,0.0010046,0.0010046,0.0010046
33,2.3022,1.4812,1.4903,0.67584,0.50449,0.57154,0.31466,2.0772,1.2993,1.391,0.00099044,0.00099044,0.00099044
34,2.2484,1.4837,1.5015,0.77853,0.47435,0.56275,0.30639,2.0094,1.2358,1.3751,0.00097629,0.00097629,0.00097629
35,2.21,1.4717,1.4948,0.7255,0.47609,0.57079,0.30484,2.0478,1.2868,1.3957,0.00096215,0.00096215,0.00096215
36,2.141,1.4388,1.4887,0.65384,0.47026,0.5494,0.30162,1.9673,1.2574,1.3624,0.000948,0.000948,0.000948
37,2.1692,1.4365,1.4522,0.67941,0.50776,0.57085,0.31263,1.9617,1.2132,1.3663,0.00093385,0.00093385,0.00093385
38,2.1577,1.3933,1.471,0.72713,0.51316,0.5818,0.3236,2.0271,1.1896,1.3764,0.0009197,0.0009197,0.0009197
39,2.1251,1.3881,1.4525,0.70777,0.46968,0.56917,0.31726,1.9566,1.1893,1.3332,0.00090556,0.00090556,0.00090556
40,2.1062,1.3635,1.451,0.58569,0.50806,0.50466,0.27335,1.9029,1.196,1.3147,0.00089141,0.00089141,0.00089141
41,2.0968,1.3187,1.4161,0.66761,0.49403,0.56007,0.32236,1.8364,1.1424,1.3008,0.00087726,0.00087726,0.00087726
42,2.0278,1.3043,1.4285,0.65569,0.56587,0.594,0.32811,1.8553,1.1188,1.3167,0.00086312,0.00086312,0.00086312
43,2.0082,1.2982,1.3859,0.72189,0.57193,0.6125,0.34586,1.8029,1.1155,1.3019,0.00084897,0.00084897,0.00084897
44,1.9832,1.2765,1.3812,0.81403,0.55576,0.6406,0.37243,1.7903,1.0845,1.2847,0.00083482,0.00083482,0.00083482
45,1.996,1.2484,1.3949,0.73625,0.5689,0.61795,0.34993,1.7833,1.081,1.2662,0.00082067,0.00082067,0.00082067
46,1.9842,1.2568,1.3628,0.68961,0.59738,0.62664,0.36414,1.7742,1.0653,1.2611,0.00080653,0.00080653,0.00080653
47,1.9579,1.2263,1.3625,0.77673,0.55965,0.63753,0.35894,1.734,1.0377,1.2615,0.00079238,0.00079238,0.00079238
48,1.8694,1.1689,1.3165,0.70296,0.5607,0.61908,0.35112,1.733,1.0312,1.2734,0.00077823,0.00077823,0.00077823
49,1.9139,1.2043,1.3777,0.78257,0.57566,0.64893,0.36966,1.7084,1.0269,1.2508,0.00076409,0.00076409,0.00076409
50,1.8604,1.1816,1.3459,0.7887,0.55451,0.65108,0.38995,1.669,1.0339,1.2299,0.00074994,0.00074994,0.00074994
51,1.8607,1.1986,1.3595,0.85173,0.55064,0.64781,0.3746,1.723,1.0042,1.242,0.00073579,0.00073579,0.00073579
52,1.8427,1.1366,1.3227,0.84963,0.54636,0.64391,0.38513,1.6769,1.0084,1.2151,0.00072164,0.00072164,0.00072164
53,1.8431,1.1399,1.3229,0.80657,0.57998,0.64535,0.39323,1.6644,0.98207,1.2208,0.0007075,0.0007075,0.0007075
54,1.8181,1.123,1.2922,0.78006,0.59358,0.64757,0.39266,1.6216,0.95889,1.2049,0.00069335,0.00069335,0.00069335
55,1.8212,1.1498,1.3158,0.84045,0.60061,0.666,0.41422,1.6037,0.98754,1.2032,0.0006792,0.0006792,0.0006792
56,1.8167,1.1604,1.3295,0.79449,0.60681,0.6714,0.39661,1.701,1.013,1.2351,0.00066506,0.00066506,0.00066506
57,1.8237,1.1246,1.2929,0.83953,0.58544,0.67487,0.40125,1.6334,0.98695,1.2063,0.00065091,0.00065091,0.00065091
58,1.8197,1.1274,1.3032,0.84345,0.58971,0.67243,0.40188,1.6608,0.96568,1.1987,0.00063676,0.00063676,0.00063676
59,1.8141,1.1072,1.2897,0.78023,0.61295,0.6664,0.40065,1.6603,0.9776,1.1981,0.00062262,0.00062262,0.00062262
60,1.7894,1.1007,1.298,0.76074,0.59088,0.64795,0.38523,1.6257,0.99626,1.1983,0.00060847,0.00060847,0.00060847
61,1.7754,1.1066,1.3007,0.79165,0.61972,0.66009,0.403,1.567,0.97375,1.1922,0.00059432,0.00059432,0.00059432
62,1.7563,1.0896,1.3007,0.81978,0.60411,0.67274,0.41068,1.6099,0.95693,1.1963,0.00058017,0.00058017,0.00058017
63,1.7093,1.0597,1.2554,0.8505,0.58688,0.67247,0.41868,1.5721,0.9463,1.1838,0.00056603,0.00056603,0.00056603
64,1.7364,1.0802,1.2667,0.83609,0.6164,0.69141,0.42836,1.5463,0.91512,1.1665,0.00055188,0.00055188,0.00055188
65,1.7112,1.0821,1.2621,0.81996,0.63107,0.68778,0.42726,1.5496,0.93354,1.1664,0.00053773,0.00053773,0.00053773
66,1.7191,1.0425,1.2496,0.76032,0.62574,0.6746,0.42155,1.5217,0.90543,1.1645,0.00052359,0.00052359,0.00052359
67,1.7223,1.0539,1.2621,0.84986,0.60571,0.67373,0.41426,1.5203,0.90561,1.1655,0.00050944,0.00050944,0.00050944
68,1.6852,1.0652,1.2559,0.85385,0.6094,0.67945,0.42548,1.5256,0.91629,1.1663,0.00049529,0.00049529,0.00049529
69,1.6624,1.0374,1.2558,0.83269,0.6169,0.69238,0.43231,1.5337,0.91189,1.1749,0.00048114,0.00048114,0.00048114
70,1.6514,1.0309,1.2461,0.86535,0.60173,0.69585,0.42688,1.4847,0.88501,1.1584,0.000467,0.000467,0.000467
71,1.6668,1.0279,1.2284,0.84737,0.62614,0.69679,0.43254,1.4834,0.88342,1.1457,0.00045285,0.00045285,0.00045285
72,1.6433,1.0238,1.2294,0.8247,0.63311,0.69071,0.44427,1.4822,0.89858,1.1351,0.0004387,0.0004387,0.0004387
73,1.6306,1.0011,1.2157,0.84847,0.62451,0.69127,0.43732,1.5057,0.87652,1.1427,0.00042456,0.00042456,0.00042456
74,1.651,0.99817,1.2163,0.83125,0.61639,0.68764,0.44111,1.4512,0.86285,1.1416,0.00041041,0.00041041,0.00041041
75,1.6163,1.0019,1.2349,0.82175,0.63565,0.68786,0.42466,1.4733,0.87805,1.1404,0.00039626,0.00039626,0.00039626
76,1.6109,0.99019,1.2137,0.83428,0.63366,0.69634,0.43944,1.5181,0.87209,1.1437,0.00038211,0.00038211,0.00038211
77,1.6254,1.0186,1.2247,0.90449,0.61382,0.70143,0.46274,1.438,0.85043,1.1251,0.00036797,0.00036797,0.00036797
78,1.5923,1.0088,1.231,0.87152,0.62544,0.70371,0.46091,1.4656,0.85658,1.1335,0.00035382,0.00035382,0.00035382
79,1.6311,1.0078,1.2187,0.90561,0.6163,0.71185,0.46568,1.4256,0.84423,1.1179,0.00033967,0.00033967,0.00033967
80,1.5636,0.96117,1.2044,0.84923,0.64077,0.70653,0.4449,1.4541,0.8543,1.1231,0.00032553,0.00032553,0.00032553
81,1.582,0.96652,1.1918,0.84343,0.63068,0.70237,0.44668,1.4392,0.84863,1.1183,0.00031138,0.00031138,0.00031138
82,1.5943,0.97781,1.2218,0.89102,0.61938,0.70502,0.46449,1.3968,0.8305,1.1078,0.00029723,0.00029723,0.00029723
83,1.5949,0.96696,1.1896,0.87515,0.62187,0.70116,0.46663,1.4172,0.82733,1.1136,0.00028308,0.00028308,0.00028308
84,1.5207,0.9389,1.179,0.85087,0.63283,0.69926,0.45784,1.4133,0.82662,1.1145,0.00026894,0.00026894,0.00026894
85,1.5667,0.95187,1.1807,0.8535,0.63186,0.70151,0.45671,1.4206,0.82435,1.1166,0.00025479,0.00025479,0.00025479
86,1.585,0.95717,1.1916,0.84327,0.6393,0.7081,0.45009,1.4354,0.83122,1.1136,0.00024064,0.00024064,0.00024064
87,1.5693,0.94991,1.1909,0.86027,0.63187,0.70287,0.45487,1.3969,0.82713,1.1096,0.0002265,0.0002265,0.0002265
88,1.5513,0.95806,1.1838,0.8598,0.63115,0.70227,0.46577,1.3858,0.83496,1.1061,0.00021235,0.00021235,0.00021235
89,1.5546,0.95193,1.1888,0.87795,0.62759,0.71249,0.45854,1.4071,0.83517,1.1116,0.0001982,0.0001982,0.0001982
90,1.5572,0.95365,1.1831,0.87878,0.63038,0.70817,0.4632,1.3869,0.83324,1.103,0.00018406,0.00018406,0.00018406
91,1.4909,0.94852,1.1564,0.86267,0.63287,0.70786,0.46677,1.4049,0.84755,1.0982,0.00016991,0.00016991,0.00016991
92,1.4806,0.94571,1.1486,0.87317,0.62941,0.71184,0.46236,1.4015,0.86446,1.0916,0.00015576,0.00015576,0.00015576
93,1.4842,0.93653,1.1596,0.87869,0.63667,0.71522,0.45678,1.4148,0.85847,1.0894,0.00014161,0.00014161,0.00014161
94,1.441,0.91477,1.1333,0.84826,0.63465,0.71143,0.46352,1.4086,0.85458,1.0877,0.00012747,0.00012747,0.00012747
95,1.4589,0.91167,1.1435,0.8485,0.63579,0.70738,0.46559,1.3968,0.8491,1.0819,0.00011332,0.00011332,0.00011332
96,1.4531,0.91577,1.1449,0.84731,0.64368,0.70796,0.47129,1.3755,0.83526,1.0742,9.92E-05,9.92E-05,9.92E-05
97,1.4152,0.87842,1.1167,0.82248,0.65595,0.71008,0.47243,1.3774,0.8335,1.072,8.50E-05,8.50E-05,8.50E-05
98,1.432,0.88394,1.1395,0.8263,0.65666,0.71086,0.47227,1.3661,0.82807,1.0696,7.09E-05,7.09E-05,7.09E-05
99,1.4101,0.87289,1.126,0.84733,0.65099,0.71332,0.47426,1.3636,0.82157,1.0718,5.67E-05,5.67E-05,5.67E-05
100,1.4332,0.89435,1.1363,0.85604,0.64488,0.70998,0.47121,1.3663,0.82773,1.0721,4.26E-05,4.26E-05,4.26E-05
