                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3615,                 5.3349,                 4.1968,                0.00011,                0.02469,                  7e-05,                  2e-05,                  5.414,                 4.7982,                 4.2277,              0.0004699,              0.0004699,              0.0004699
                      2,                  5.024,                 4.2077,                 3.8901,                0.00011,                0.02469,                  7e-05,                  2e-05,                 5.4629,                 5.2304,                 4.3583,             0.00094155,             0.00094155,             0.00094155
                      3,                 4.7022,                 3.6291,                 3.6074,                0.00969,                 0.0636,                0.00523,                0.00131,                 4.3469,                  174.7,                 7.3408,              0.0014085,              0.0014085,              0.0014085
                      4,                 4.1892,                 3.2506,                 3.3673,                0.00815,                0.09026,                0.00519,                0.00114,                 4.6192,                 118.27,                 6.5908,              0.0014078,              0.0014078,              0.0014078
                      5,                 4.0574,                 3.0797,                 3.1882,                0.01221,                0.05709,                0.00626,                0.00139,                 4.3686,                 15.932,                 3.5277,              0.0014078,              0.0014078,              0.0014078
                      6,                  3.915,                 2.9475,                 2.9241,                0.34732,                0.09876,                0.00872,                0.00209,                 4.2241,                 13.429,                 3.0554,              0.0014007,              0.0014007,              0.0014007
                      7,                 3.7555,                  2.813,                 2.7405,                0.02094,                0.13687,                0.02063,                0.00571,                 3.8662,                 2.9032,                 2.7593,              0.0013936,              0.0013936,              0.0013936
                      8,                 3.7012,                 2.7553,                 2.5315,                0.09433,                0.13245,                0.04797,                0.01335,                 3.4722,                 2.5385,                 2.4035,              0.0013866,              0.0013866,              0.0013866
                      9,                 3.5197,                 2.5659,                 2.4149,                0.10861,                0.18179,                0.09055,                0.02877,                 3.3531,                 2.7093,                  2.257,              0.0013795,              0.0013795,              0.0013795
                     10,                 3.3858,                 2.4359,                 2.2586,                0.23558,                0.14883,                0.13968,                0.04887,                 3.1266,                 2.3816,                 2.3274,              0.0013724,              0.0013724,              0.0013724
                     11,                 3.2807,                  2.391,                 2.1691,                0.15828,                0.21375,                0.10504,                0.04605,                 3.0592,                 2.6913,                 2.0815,              0.0013653,              0.0013653,              0.0013653
                     12,                  3.185,                 2.2735,                   2.12,                0.22105,                 0.2684,                0.16983,                0.06396,                 2.9036,                 2.1246,                 1.9985,              0.0013583,              0.0013583,              0.0013583
                     13,                 3.0359,                 2.1523,                 1.9755,                 0.2333,                0.37172,                0.20356,                0.09143,                 2.8147,                 2.0584,                 1.9249,              0.0013512,              0.0013512,              0.0013512
                     14,                 2.9617,                  2.078,                 1.9425,                0.33896,                0.26268,                0.23896,                0.10829,                 2.7731,                 1.9655,                 1.8633,              0.0013441,              0.0013441,              0.0013441
                     15,                 2.9682,                 2.0236,                  1.811,                0.20926,                0.30816,                0.17249,                0.07083,                 2.8843,                 2.0332,                 1.8582,               0.001337,               0.001337,               0.001337
                     16,                 2.8059,                 1.9563,                 1.8108,                0.34414,                0.36783,                0.26274,                0.11854,                 2.5682,                  2.148,                 1.7256,                0.00133,                0.00133,                0.00133
                     17,                 2.7499,                 1.9015,                 1.7568,                0.33027,                0.33729,                0.26348,                0.11709,                 2.5634,                 1.8558,                 1.6862,              0.0013229,              0.0013229,              0.0013229
                     18,                 2.6351,                 1.7735,                 1.6784,                0.37526,                0.39022,                0.36328,                0.16385,                 2.4316,                 1.6869,                 1.6141,              0.0013158,              0.0013158,              0.0013158
                     19,                 2.5987,                 1.8045,                 1.6766,                0.49261,                0.38411,                0.39927,                0.18345,                 2.4356,                 1.6725,                 1.6467,              0.0013087,              0.0013087,              0.0013087
                     20,                 2.5649,                 1.7261,                 1.6468,                0.53297,                0.39078,                 0.4207,                0.20429,                 2.3577,                 1.6218,                 1.5688,              0.0013017,              0.0013017,              0.0013017
                     21,                 2.4463,                   1.69,                 1.5885,                0.52911,                0.40097,                0.41836,                0.20755,                  2.258,                 1.5454,                 1.5853,              0.0012946,              0.0012946,              0.0012946
                     22,                 2.4077,                 1.6547,                 1.5974,                0.54695,                0.34594,                0.39822,                0.19873,                 2.2576,                 1.4717,                 1.5386,              0.0012875,              0.0012875,              0.0012875
                     23,                 2.3859,                 1.6304,                 1.5475,                0.62749,                0.36074,                0.42819,                0.21647,                 2.1891,                 1.4154,                 1.4937,              0.0012805,              0.0012805,              0.0012805
                     24,                 2.3148,                 1.5664,                 1.5506,                0.59015,                0.42984,                 0.4864,                0.25385,                 2.1701,                 1.5185,                 1.5424,              0.0012734,              0.0012734,              0.0012734
                     25,                 2.3487,                 1.5809,                 1.5356,                0.54182,                0.46205,                0.47214,                0.23142,                 2.2584,                  1.425,                 1.5217,              0.0012663,              0.0012663,              0.0012663
                     26,                 2.2976,                 1.5104,                 1.4854,                0.62981,                0.42177,                0.50985,                0.26836,                 2.0701,                 1.3812,                 1.4288,              0.0012592,              0.0012592,              0.0012592
                     27,                 2.2161,                  1.498,                 1.4787,                0.61857,                0.41951,                0.49668,                0.26141,                 2.0315,                 1.3063,                 1.4054,              0.0012522,              0.0012522,              0.0012522
                     28,                 2.2044,                 1.4342,                 1.4349,                  0.661,                0.51857,                0.56672,                0.28555,                 2.0177,                 1.2629,                 1.3965,              0.0012451,              0.0012451,              0.0012451
                     29,                 2.1002,                 1.4006,                 1.4076,                0.63492,                0.47746,                0.53117,                0.29228,                 2.0129,                 1.2555,                 1.4031,               0.001238,               0.001238,               0.001238
                     30,                 2.1037,                 1.3828,                 1.4189,                0.62719,                0.53147,                 0.5701,                0.30034,                 1.9467,                 1.2539,                 1.3882,              0.0012309,              0.0012309,              0.0012309
                     31,                 2.0663,                 1.3838,                 1.4398,                0.62213,                0.50812,                0.55691,                0.30453,                 1.9636,                 1.2179,                 1.3636,              0.0012239,              0.0012239,              0.0012239
                     32,                 2.0494,                 1.4079,                 1.4138,                0.66573,                0.52444,                0.57837,                0.32293,                 1.8589,                 1.1689,                 1.3454,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.9897,                 1.2989,                 1.3661,                0.64447,                0.54491,                0.60011,                 0.3332,                 1.8661,                 1.2048,                  1.317,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.9618,                 1.2906,                 1.3526,                0.63464,                0.54286,                0.60014,                0.34384,                  1.791,                 1.1577,                 1.3126,              0.0012026,              0.0012026,              0.0012026
                     35,                  1.953,                 1.2656,                 1.3233,                0.72921,                0.56579,                0.62741,                0.34039,                 1.7945,                  1.135,                 1.2923,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.9399,                 1.2376,                 1.3217,                0.70069,                0.51761,                0.61455,                0.32351,                 1.8407,                 1.1658,                 1.3217,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.9272,                 1.2411,                 1.3452,                0.83023,                0.53491,                0.65604,                0.37883,                 1.6821,                  1.103,                 1.2748,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.8673,                 1.1983,                 1.2986,                0.67866,                0.59479,                0.65054,                0.37173,                 1.7335,                 1.0879,                 1.2727,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.8703,                 1.1687,                 1.2646,                0.71573,                 0.5837,                0.63589,                0.36556,                 1.6891,                 1.0716,                 1.2548,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.8681,                 1.1899,                 1.2967,                0.70948,                0.59813,                0.65995,                0.38867,                 1.6515,                 1.0378,                 1.2463,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.8021,                 1.1404,                 1.2805,                0.77593,                0.59656,                0.65706,                0.38533,                 1.6383,                 1.0516,                 1.2449,              0.0011531,              0.0011531,              0.0011531
