                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,5.3615,5.3349,4.1968,0.00011,0.02469,7.00E-05,2.00E-05,5.414,4.7982,4.2277,0.0004699,0.0004699,0.0004699
2,5.0226,4.2081,3.8904,0.00011,0.02469,7.00E-05,2.00E-05,5.4633,5.231,4.3588,0.00094389,0.00094389,0.00094389
3,4.7005,3.6235,3.6027,0.01036,0.07267,0.00572,0.00159,4.2908,119.01,6.5187,0.0014155,0.0014155,0.0014155
4,4.1917,3.2756,3.3646,0.00975,0.0793,0.00566,0.00134,4.5286,53.228,5.4826,0.0014184,0.0014184,0.0014184
5,4.0217,3.0295,3.1675,0.01326,0.09824,0.00852,0.00178,4.2733,15.064,3.2379,0.0014184,0.0014184,0.0014184
6,3.903,2.922,2.9114,0.34884,0.0851,0.00986,0.00263,3.9279,5.4821,2.8038,0.0014149,0.0014149,0.0014149
7,3.7479,2.8002,2.7208,0.02195,0.05179,0.01195,0.00307,3.7691,4.6435,2.5493,0.0014113,0.0014113,0.0014113
8,3.6696,2.7574,2.5273,0.14379,0.07988,0.06089,0.01761,3.38,2.6056,2.3729,0.0014078,0.0014078,0.0014078
9,3.4629,2.5473,2.3927,0.18597,0.15525,0.13119,0.04037,3.3775,2.4522,2.3283,0.0014042,0.0014042,0.0014042
10,3.3282,2.4141,2.2286,0.25797,0.15403,0.12151,0.04299,3.1911,2.4052,2.2746,0.0014007,0.0014007,0.0014007
11,3.2378,2.3332,2.1355,0.19694,0.24991,0.11614,0.04357,3.0595,3.1204,2.04,0.0013972,0.0013972,0.0013972
12,3.1278,2.2163,2.0551,0.31099,0.26457,0.18766,0.06993,3.0017,2.0937,1.9781,0.0013936,0.0013936,0.0013936
13,3.0009,2.1058,1.9546,0.36037,0.28515,0.22476,0.09086,2.7776,2.01,1.8834,0.0013901,0.0013901,0.0013901
14,2.9195,2.0338,1.9121,0.35261,0.28932,0.26074,0.111,2.7361,1.9578,1.9059,0.0013866,0.0013866,0.0013866
15,2.936,1.9826,1.799,0.37586,0.32871,0.27767,0.12502,2.6654,2.0293,1.7752,0.001383,0.001383,0.001383
16,2.7558,1.9249,1.7907,0.49175,0.30265,0.31916,0.13941,2.7096,1.9043,1.7629,0.0013795,0.0013795,0.0013795
17,2.7345,1.9235,1.7417,0.41242,0.31278,0.29272,0.13907,2.5184,1.792,1.6723,0.0013759,0.0013759,0.0013759
18,2.6323,1.7697,1.6773,0.46934,0.40303,0.38565,0.17683,2.4628,1.6711,1.6056,0.0013724,0.0013724,0.0013724
19,2.6192,1.8055,1.6721,0.52008,0.3893,0.41713,0.19004,2.4147,1.5869,1.5795,0.0013689,0.0013689,0.0013689
20,2.5571,1.7101,1.622,0.51461,0.38839,0.41975,0.20697,2.2809,1.5432,1.5522,0.0013653,0.0013653,0.0013653
21,2.4762,1.7025,1.5781,0.49071,0.40121,0.4114,0.20317,2.3879,1.5517,1.5849,0.0013618,0.0013618,0.0013618
22,2.4378,1.671,1.5926,0.44751,0.43179,0.409,0.22342,2.2049,1.496,1.52,0.0013583,0.0013583,0.0013583
23,2.3761,1.6463,1.5474,0.53212,0.41891,0.46116,0.23557,2.1715,1.445,1.4776,0.0013547,0.0013547,0.0013547
24,2.2825,1.5699,1.5308,0.50402,0.43773,0.46256,0.23815,2.2263,1.4927,1.5459,0.0013512,0.0013512,0.0013512
25,2.283,1.5625,1.504,0.54328,0.4733,0.50499,0.26813,2.0952,1.3774,1.4398,0.0013477,0.0013477,0.0013477
26,2.239,1.4969,1.4536,0.52677,0.52419,0.53076,0.27224,2.1047,1.368,1.4197,0.0013441,0.0013441,0.0013441
27,2.2183,1.4979,1.4669,0.61428,0.51965,0.55246,0.27937,2.0418,1.3055,1.4269,0.0013406,0.0013406,0.0013406
28,2.2149,1.4202,1.4342,0.65062,0.48016,0.56071,0.26093,2.0417,1.2695,1.4161,0.001337,0.001337,0.001337
29,2.1406,1.4128,1.4135,0.5889,0.50879,0.53799,0.28181,1.9861,1.3187,1.3683,0.0013335,0.0013335,0.0013335
30,2.1224,1.4059,1.4269,0.6724,0.53006,0.59532,0.30721,2.0361,1.2587,1.4222,0.00133,0.00133,0.00133
31,2.0914,1.3947,1.4413,0.67553,0.53631,0.59449,0.31448,2.0191,1.283,1.3818,0.0013264,0.0013264,0.0013264
32,2.0631,1.4171,1.4103,0.62924,0.56706,0.58862,0.32303,1.8763,1.2524,1.3446,0.0013229,0.0013229,0.0013229
33,2.0108,1.3147,1.3615,0.6959,0.52873,0.60452,0.34782,1.8467,1.3391,1.2988,0.0013194,0.0013194,0.0013194
34,1.9686,1.303,1.3484,0.62757,0.59006,0.58868,0.34513,1.7759,1.1583,1.3086,0.0013158,0.0013158,0.0013158
35,1.9791,1.2846,1.3257,0.7032,0.5868,0.606,0.32958,1.8322,1.1645,1.3232,0.0013123,0.0013123,0.0013123
36,1.9329,1.2499,1.3208,0.7368,0.57099,0.63379,0.36066,1.8159,1.1254,1.3136,0.0013087,0.0013087,0.0013087
37,1.903,1.2569,1.3308,0.70267,0.60046,0.64936,0.37004,1.7358,1.1249,1.2841,0.0013052,0.0013052,0.0013052
38,1.8643,1.2148,1.303,0.78599,0.5765,0.66574,0.39065,1.7307,1.0987,1.265,0.0013017,0.0013017,0.0013017
39,1.8565,1.1651,1.258,0.73348,0.58354,0.66047,0.39576,1.6584,1.0462,1.2426,0.0012981,0.0012981,0.0012981
40,1.8514,1.189,1.2878,0.77734,0.60593,0.66396,0.39112,1.6791,1.0524,1.2501,0.0012946,0.0012946,0.0012946
41,1.8103,1.1418,1.2801,0.68203,0.61698,0.64732,0.37616,1.6816,1.0624,1.2484,0.0012911,0.0012911,0.0012911
42,1.8264,1.1816,1.2884,0.70873,0.62057,0.66566,0.365,1.6832,1.0634,1.2478,0.0012875,0.0012875,0.0012875
43,1.8515,1.1416,1.2802,0.76952,0.6266,0.67695,0.36668,1.7924,1.045,1.278,0.001284,0.001284,0.001284
44,1.7534,1.124,1.2575,0.74483,0.60702,0.67259,0.40553,1.6222,1.0261,1.2285,0.0012805,0.0012805,0.0012805
45,1.7444,1.1152,1.2468,0.75494,0.622,0.68134,0.41072,1.5957,1.0133,1.2131,0.0012769,0.0012769,0.0012769
46,1.7538,1.0798,1.2365,0.78611,0.61343,0.68473,0.41358,1.5824,1.0025,1.2004,0.0012734,0.0012734,0.0012734
47,1.6941,1.0702,1.2218,0.81817,0.61232,0.69611,0.41691,1.5503,0.96943,1.1914,0.0012698,0.0012698,0.0012698
48,1.7249,1.0705,1.2405,0.76712,0.63938,0.69066,0.41652,1.5779,0.96197,1.1978,0.0012663,0.0012663,0.0012663
49,1.691,1.058,1.2278,0.77432,0.64606,0.69384,0.42981,1.517,0.97145,1.1853,0.0012628,0.0012628,0.0012628
50,1.6705,1.037,1.1984,0.85763,0.60596,0.68718,0.42832,1.5319,0.94718,1.1827,0.0012592,0.0012592,0.0012592
51,1.6506,1.0082,1.1863,0.81819,0.63367,0.70593,0.44082,1.5084,0.96076,1.1625,0.0012557,0.0012557,0.0012557
52,1.6502,1.0205,1.249,0.77848,0.64415,0.70616,0.43364,1.5007,0.93387,1.166,0.0012522,0.0012522,0.0012522
53,1.6253,1.021,1.1912,0.80266,0.64452,0.70807,0.43128,1.4897,0.93168,1.1571,0.0012486,0.0012486,0.0012486
54,1.5747,0.98101,1.1763,0.77565,0.66313,0.71059,0.43275,1.4764,0.90662,1.1498,0.0012451,0.0012451,0.0012451
55,1.5667,0.96147,1.1585,0.83769,0.62928,0.71285,0.44559,1.4371,0.89588,1.1417,0.0012416,0.0012416,0.0012416
56,1.5581,0.94153,1.1622,0.83485,0.62224,0.70875,0.43541,1.5053,0.94902,1.1441,0.001238,0.001238,0.001238
57,1.5676,0.98141,1.1972,0.80985,0.64285,0.71505,0.44557,1.4319,0.8993,1.135,0.0012345,0.0012345,0.0012345
58,1.5674,0.96945,1.1709,0.80803,0.662,0.72112,0.44907,1.4348,0.89427,1.1437,0.0012309,0.0012309,0.0012309
59,1.5461,0.96326,1.1749,0.75101,0.68675,0.72236,0.46079,1.4391,0.87589,1.1221,0.0012274,0.0012274,0.0012274
60,1.5684,0.96493,1.1764,0.79463,0.6509,0.71545,0.45092,1.44,0.88951,1.1331,0.0012239,0.0012239,0.0012239
61,1.5286,0.91976,1.1271,0.80134,0.62735,0.71498,0.45187,1.4454,0.8873,1.1348,0.0012203,0.0012203,0.0012203
62,1.561,0.95767,1.1698,0.85748,0.60949,0.70709,0.43085,1.5041,0.89705,1.1511,0.0012168,0.0012168,0.0012168
63,1.5456,0.92286,1.1438,0.84919,0.66048,0.73731,0.46743,1.4245,0.85637,1.1124,0.0012133,0.0012133,0.0012133
64,1.496,0.9077,1.1135,0.82354,0.67731,0.73748,0.44284,1.4563,0.87106,1.1276,0.0012097,0.0012097,0.0012097
65,1.5295,0.92749,1.1467,0.79587,0.65459,0.71851,0.46214,1.3963,0.85255,1.1001,0.0012062,0.0012062,0.0012062
66,1.4862,0.89391,1.1199,0.82541,0.64328,0.73693,0.46165,1.4143,0.84385,1.1036,0.0012026,0.0012026,0.0012026
67,1.5056,0.9073,1.1055,0.80377,0.66914,0.72751,0.45681,1.3808,0.84879,1.0993,0.0011991,0.0011991,0.0011991
68,1.4767,0.90119,1.1217,0.7971,0.67643,0.74043,0.48262,1.3936,0.8519,1.1048,0.0011956,0.0011956,0.0011956
69,1.5066,0.89165,1.1317,0.82739,0.67766,0.73929,0.44299,1.4325,0.83986,1.1178,0.001192,0.001192,0.001192
70,1.4961,0.89647,1.1432,0.79117,0.66736,0.72817,0.46038,1.3864,0.85694,1.1038,0.0011885,0.0011885,0.0011885
71,1.4759,0.90359,1.1157,0.78947,0.69241,0.74794,0.46985,1.3833,0.8258,1.0872,0.001185,0.001185,0.001185
72,1.4667,0.9039,1.11,0.80297,0.67327,0.74568,0.46383,1.3625,0.8257,1.0915,0.0011814,0.0011814,0.0011814
73,1.4246,0.87206,1.1009,0.80483,0.68514,0.74212,0.47991,1.3367,0.83967,1.0859,0.0011779,0.0011779,0.0011779
74,1.4433,0.8817,1.1107,0.80112,0.6968,0.7391,0.47021,1.368,0.82764,1.0912,0.0011744,0.0011744,0.0011744
75,1.456,0.86123,1.1109,0.81954,0.69904,0.74954,0.47945,1.3241,0.80162,1.0802,0.0011708,0.0011708,0.0011708
76,1.4651,0.87236,1.099,0.84644,0.69486,0.76051,0.49158,1.3338,0.80173,1.0769,0.0011673,0.0011673,0.0011673
77,1.4559,0.88459,1.1207,0.81509,0.68332,0.75154,0.47158,1.364,0.79456,1.0897,0.0011637,0.0011637,0.0011637
78,1.4194,0.86437,1.1048,0.78028,0.70882,0.74135,0.4807,1.3355,0.79608,1.0781,0.0011602,0.0011602,0.0011602
