                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,5.3615,5.3349,4.1968,0.00011,0.02469,7.00E-05,2.00E-05,5.414,4.7982,4.2277,0.0004699,0.0004699,0.0004699
2,5.0224,4.2088,3.8902,0.00011,0.02469,7.00E-05,2.00E-05,5.4634,5.231,4.3586,0.00094311,0.00094311,0.00094311
3,4.697,3.6303,3.602,0.01181,0.0795,0.00658,0.00163,4.293,125.31,6.5922,0.0014132,0.0014132,0.0014132
4,4.1598,3.2649,3.3605,0.0111,0.07507,0.00609,0.00147,4.4444,48.018,5.334,0.0014149,0.0014149,0.0014149
5,4.0245,3.0487,3.1757,0.01123,0.09961,0.00892,0.00182,4.3761,22.703,3.5349,0.0014149,0.0014149,0.0014149
6,3.9116,2.9459,2.9254,0.35014,0.07633,0.01111,0.00267,4.2949,33.293,3.1581,0.0014101,0.0014101,0.0014101
7,3.7753,2.8064,2.7344,0.35209,0.07813,0.00955,0.00244,3.7385,3.0545,2.6214,0.0014054,0.0014054,0.0014054
8,3.6654,2.7249,2.5116,0.05407,0.18797,0.04002,0.01512,3.4938,2.7492,2.3718,0.0014007,0.0014007,0.0014007
9,3.455,2.5266,2.4121,0.39558,0.14642,0.10265,0.02792,3.3691,2.6074,2.3691,0.001396,0.001396,0.001396
10,3.3184,2.4373,2.2432,0.1656,0.19468,0.10571,0.0362,3.1629,2.3583,2.2146,0.0013913,0.0013913,0.0013913
11,3.2239,2.3266,2.17,0.2429,0.1978,0.12993,0.04634,3.0311,2.3328,2.132,0.0013866,0.0013866,0.0013866
12,3.1555,2.2479,2.0854,0.25031,0.30589,0.16789,0.0589,3.0522,2.5761,2.0118,0.0013818,0.0013818,0.0013818
13,3.0835,2.1724,2.0001,0.27019,0.19034,0.14661,0.06552,3.1496,2.7613,1.9817,0.0013771,0.0013771,0.0013771
14,3.0011,2.1457,1.9605,0.26733,0.29187,0.20707,0.0811,2.7563,2.2242,1.8471,0.0013724,0.0013724,0.0013724
15,3.0417,2.0527,1.8519,0.28839,0.22536,0.18945,0.07938,2.9609,2.1222,1.8964,0.0013677,0.0013677,0.0013677
16,2.8809,2.0244,1.87,0.32817,0.3579,0.27521,0.12845,2.646,1.9077,1.7582,0.001363,0.001363,0.001363
17,2.8514,1.9637,1.7998,0.38858,0.3152,0.28445,0.13715,2.6882,1.9063,1.7629,0.0013583,0.0013583,0.0013583
18,2.7409,1.8775,1.7173,0.27474,0.39259,0.25412,0.11029,2.4946,1.8322,1.6721,0.0013535,0.0013535,0.0013535
19,2.6838,1.9011,1.7241,0.50905,0.31121,0.34835,0.17012,2.4528,1.7345,1.6249,0.0013488,0.0013488,0.0013488
20,2.6402,1.8239,1.6782,0.45002,0.37253,0.33305,0.16457,2.4781,1.736,1.5807,0.0013441,0.0013441,0.0013441
21,2.5488,1.7715,1.6232,0.42572,0.39399,0.38276,0.19234,2.3269,1.5917,1.5797,0.0013394,0.0013394,0.0013394
22,2.4825,1.7344,1.6264,0.47646,0.44686,0.42747,0.21796,2.315,1.5526,1.539,0.0013347,0.0013347,0.0013347
23,2.4629,1.7091,1.5849,0.45171,0.44678,0.41901,0.21874,2.2328,1.4935,1.5196,0.00133,0.00133,0.00133
24,2.3499,1.6366,1.5797,0.5067,0.41814,0.43555,0.22425,2.221,1.5481,1.5012,0.0013253,0.0013253,0.0013253
25,2.3749,1.6348,1.5423,0.53739,0.40821,0.43602,0.23067,2.1534,1.4846,1.4585,0.0013205,0.0013205,0.0013205
26,2.3591,1.5876,1.5055,0.64136,0.43511,0.48683,0.25554,2.1207,1.4263,1.4511,0.0013158,0.0013158,0.0013158
27,2.2842,1.5762,1.5081,0.55383,0.48197,0.47208,0.23196,2.142,1.434,1.4616,0.0013111,0.0013111,0.0013111
28,2.2363,1.4845,1.454,0.60652,0.48113,0.50282,0.27573,1.991,1.3049,1.4123,0.0013064,0.0013064,0.0013064
29,2.1406,1.4618,1.4235,0.56208,0.487,0.51854,0.30068,1.9746,1.3104,1.4145,0.0013017,0.0013017,0.0013017
30,2.1348,1.4277,1.4316,0.69928,0.51392,0.58374,0.30963,1.9715,1.2868,1.409,0.001297,0.001297,0.001297
31,2.0895,1.4203,1.455,0.64601,0.53386,0.59012,0.32782,1.9152,1.2456,1.347,0.0012922,0.0012922,0.0012922
32,2.0782,1.4419,1.4305,0.62141,0.57072,0.59352,0.34706,1.9125,1.281,1.3517,0.0012875,0.0012875,0.0012875
33,2.0259,1.3653,1.3771,0.61611,0.51629,0.5629,0.31099,1.8285,1.2336,1.3151,0.0012828,0.0012828,0.0012828
34,2.0553,1.3359,1.3746,0.63624,0.58638,0.61568,0.33934,1.8419,1.1684,1.3242,0.0012781,0.0012781,0.0012781
35,2.0026,1.3227,1.3403,0.74702,0.56402,0.6277,0.36512,1.7979,1.1632,1.3044,0.0012734,0.0012734,0.0012734
36,1.9582,1.2892,1.3371,0.73578,0.56088,0.63946,0.37104,1.8372,1.1673,1.3151,0.0012687,0.0012687,0.0012687
