                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2997,                 5.0531,                 4.1852,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4025,                  4.684,                 4.2439,             0.00047066,             0.00047066,             0.00047066
                      2,                  4.908,                 3.9241,                 3.8248,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4363,                 4.6913,                 4.2622,             0.00094512,             0.00094512,             0.00094512
                      3,                 4.4061,                 3.4622,                 3.5009,                0.01044,                0.05594,                0.00526,                0.00138,                 4.3051,                 44.954,                 5.7152,              0.0014177,              0.0014177,              0.0014177
                      4,                 4.1221,                 3.1408,                 3.2382,                0.01498,                0.25487,                0.01211,                0.00393,                 3.7663,                 3.0453,                 3.0604,              0.0014205,              0.0014205,              0.0014205
                      5,                 3.9248,                 2.9543,                 3.0474,                0.01276,                  0.065,                0.00657,                0.00153,                   4.22,                 14.603,                 3.3134,              0.0014205,              0.0014205,              0.0014205
                      6,                 3.7609,                  2.865,                 2.7597,                0.01593,                0.09067,                0.00936,                0.00217,                 4.2456,                 7.9236,                 2.7218,              0.0014177,              0.0014177,              0.0014177
                      7,                 3.7396,                 2.7962,                 2.5219,                 0.0749,                0.13728,                0.03632,                0.00818,                 3.8793,                 4.0598,                 2.4957,              0.0014149,              0.0014149,              0.0014149
                      8,                 3.5694,                 2.6066,                 2.4472,                0.14994,                0.15764,                 0.0957,                0.02855,                  3.633,                 2.4477,                 2.5365,               0.001412,               0.001412,               0.001412
                      9,                 3.4359,                 2.4964,                 2.2711,                 0.0675,                0.34945,                0.10781,                0.02505,                 3.1902,                  2.457,                 2.2304,              0.0014092,              0.0014092,              0.0014092
                     10,                 3.2904,                 2.3565,                 2.1748,                 0.2549,                0.29295,                 0.1763,                0.05805,                   3.03,                 2.5699,                 2.1516,              0.0014064,              0.0014064,              0.0014064
                     11,                 3.1673,                 2.2199,                 2.0978,                0.27521,                0.29214,                0.20933,                 0.0754,                 2.9549,                   2.12,                 2.0929,              0.0014035,              0.0014035,              0.0014035
                     12,                 3.0194,                 2.1236,                 1.9904,                0.26435,                0.28933,                0.22417,                0.08634,                 2.8549,                 1.9592,                 1.9214,              0.0014007,              0.0014007,              0.0014007
                     13,                 3.0357,                 2.0501,                 1.8658,                0.36789,                0.30973,                  0.282,                0.10258,                 2.7484,                 1.8208,                 1.8578,              0.0013979,              0.0013979,              0.0013979
                     14,                 2.8669,                 1.9747,                 1.8182,                0.30731,                0.33311,                0.27331,                0.11109,                 2.6146,                 1.8899,                 1.7481,               0.001395,               0.001395,               0.001395
                     15,                 2.7502,                  1.863,                 1.7322,                 0.4306,                0.36699,                0.33096,                0.14406,                 2.5248,                 1.6766,                 1.6983,              0.0013922,              0.0013922,              0.0013922
                     16,                 2.6675,                 1.7991,                 1.6852,                  0.413,                0.36273,                0.34036,                0.14944,                 2.4787,                 1.6877,                 1.6345,              0.0013894,              0.0013894,              0.0013894
                     17,                 2.6348,                 1.7979,                 1.6556,                0.43248,                0.46716,                0.38989,                0.17376,                 2.4482,                 1.5758,                 1.6437,              0.0013866,              0.0013866,              0.0013866
                     18,                  2.543,                 1.7102,                  1.612,                0.53329,                0.37286,                0.40892,                0.18772,                 2.4983,                 1.8193,                 1.5853,              0.0013837,              0.0013837,              0.0013837
                     19,                 2.5131,                 1.7298,                 1.5657,                0.55511,                0.40045,                0.46253,                0.22937,                 2.2902,                 1.4301,                 1.5254,              0.0013809,              0.0013809,              0.0013809
                     20,                 2.4723,                 1.6763,                 1.6203,                0.63431,                0.48605,                0.49788,                0.25392,                 2.1887,                 1.4439,                 1.4973,              0.0013781,              0.0013781,              0.0013781
                     21,                  2.364,                 1.5914,                 1.5114,                0.54147,                0.55438,                0.50792,                0.25747,                 2.2037,                 1.4437,                 1.4777,              0.0013752,              0.0013752,              0.0013752
                     22,                 2.3121,                 1.5649,                 1.4943,                0.67711,                0.40322,                0.54784,                0.27967,                  2.108,                 1.3948,                  1.434,              0.0013724,              0.0013724,              0.0013724
                     23,                 2.2775,                 1.5153,                 1.4526,                0.72676,                0.52974,                0.58258,                0.29491,                 2.1109,                 1.3296,                 1.4325,              0.0013696,              0.0013696,              0.0013696
                     24,                 2.2201,                 1.4246,                 1.4282,                0.71034,                0.51032,                 0.5385,                0.27713,                 2.1244,                 1.3092,                 1.4317,              0.0013668,              0.0013668,              0.0013668
                     25,                 2.2225,                 1.4374,                  1.453,                0.70086,                 0.5132,                0.58774,                0.31225,                 2.0722,                 1.2494,                 1.4106,              0.0013639,              0.0013639,              0.0013639
                     26,                 2.2138,                 1.4445,                 1.4529,                0.68079,                0.55017,                0.61663,                 0.3296,                 1.9746,                 1.2851,                 1.3629,              0.0013611,              0.0013611,              0.0013611
                     27,                 2.1001,                  1.397,                 1.4423,                0.70709,                0.59081,                0.61713,                0.34821,                 1.9098,                 1.2033,                 1.3574,              0.0013583,              0.0013583,              0.0013583
                     28,                 2.0776,                 1.3555,                 1.4074,                0.75578,                0.53502,                0.62513,                0.35379,                 1.8208,                 1.1456,                 1.3097,              0.0013554,              0.0013554,              0.0013554
                     29,                 2.0359,                 1.2976,                 1.4012,                0.80353,                0.54256,                0.65471,                0.38235,                 1.8461,                 1.1795,                  1.313,              0.0013526,              0.0013526,              0.0013526
                     30,                 2.0237,                 1.3104,                 1.3973,                0.85353,                0.54508,                0.67812,                0.38389,                 1.7788,                 1.1247,                 1.2947,              0.0013498,              0.0013498,              0.0013498
                     31,                 1.9806,                 1.2704,                 1.3616,                0.72751,                0.61199,                0.67789,                   0.38,                 1.8077,                 1.1013,                 1.3043,              0.0013469,              0.0013469,              0.0013469
                     32,                  1.905,                 1.2194,                 1.3158,                0.86296,                0.58479,                0.69039,                0.39057,                 1.7066,                 1.0684,                 1.2891,              0.0013441,              0.0013441,              0.0013441
                     33,                 1.9159,                 1.2343,                 1.3534,                0.76087,                0.64869,                0.70331,                0.40002,                 1.6791,                 1.0779,                 1.2641,              0.0013413,              0.0013413,              0.0013413
                     34,                 1.8441,                 1.1647,                 1.2806,                0.83002,                0.56729,                0.68397,                0.40247,                  1.676,                 1.0664,                 1.2462,              0.0013385,              0.0013385,              0.0013385
                     35,                 1.8797,                 1.2016,                 1.3165,                0.86655,                0.62535,                0.71733,                0.40903,                 1.7534,                 1.0509,                 1.2573,              0.0013356,              0.0013356,              0.0013356
                     36,                 1.8677,                 1.1527,                 1.3106,                  0.746,                 0.5845,                0.67251,                0.39831,                 1.6883,                 1.0361,                 1.2348,              0.0013328,              0.0013328,              0.0013328
                     37,                 1.8018,                  1.177,                 1.3052,                0.86387,                0.59519,                0.71678,                0.41173,                  1.686,                 1.0307,                 1.2552,                0.00133,                0.00133,                0.00133
                     38,                 1.8478,                 1.1619,                 1.2785,                0.77051,                0.61057,                0.69559,                0.42117,                  1.626,                 1.0211,                  1.216,              0.0013271,              0.0013271,              0.0013271
                     39,                 1.8258,                 1.1317,                 1.2971,                  0.888,                0.59946,                0.71302,                0.43312,                 1.6316,                0.98938,                  1.228,              0.0013243,              0.0013243,              0.0013243
                     40,                 1.8432,                 1.1317,                 1.2851,                0.75569,                0.63457,                0.71149,                0.43791,                 1.6135,                0.97716,                 1.2121,              0.0013215,              0.0013215,              0.0013215
                     41,                 1.8127,                 1.1184,                 1.2511,                 0.7901,                0.65037,                0.72564,                0.44875,                 1.5494,                0.95106,                 1.1724,              0.0013187,              0.0013187,              0.0013187
                     42,                 1.7349,                 1.0955,                 1.2653,                0.90622,                 0.6033,                0.73068,                0.46286,                 1.5484,                0.93163,                 1.1721,              0.0013158,              0.0013158,              0.0013158
                     43,                 1.6993,                 1.0718,                 1.2395,                0.77141,                0.67179,                0.73463,                0.44414,                 1.5157,                0.93754,                 1.1715,               0.001313,               0.001313,               0.001313
                     44,                 1.7138,                 1.0321,                 1.2313,                 0.8442,                0.64811,                0.74272,                0.46185,                 1.5165,                 0.9269,                 1.1659,              0.0013102,              0.0013102,              0.0013102
                     45,                 1.7066,                 1.0356,                 1.2427,                0.83126,                0.63625,                0.72461,                0.43524,                 1.5886,                0.98463,                 1.1676,              0.0013073,              0.0013073,              0.0013073
                     46,                 1.7106,                 1.0594,                 1.2547,                 0.8633,                0.65348,                0.74124,                0.44919,                 1.5616,                0.90214,                 1.1629,              0.0013045,              0.0013045,              0.0013045
                     47,                 1.6296,                0.99943,                 1.1945,                0.80859,                0.62862,                0.74014,                0.44644,                  1.521,                 0.8988,                 1.1636,              0.0013017,              0.0013017,              0.0013017
                     48,                 1.6297,                 1.0033,                 1.2031,                0.85318,                0.66565,                0.74736,                0.45928,                 1.5083,                0.89049,                 1.1476,              0.0012988,              0.0012988,              0.0012988
                     49,                 1.6475,                0.99454,                 1.2135,                0.90158,                0.64634,                0.75772,                0.46816,                 1.4758,                0.87688,                 1.1406,               0.001296,               0.001296,               0.001296
                     50,                 1.6499,                 1.0047,                 1.2137,                0.83268,                 0.6996,                0.76459,                0.46692,                 1.4561,                0.85599,                 1.1379,              0.0012932,              0.0012932,              0.0012932
                     51,                 1.6167,                 1.0084,                 1.2113,                0.86696,                0.62317,                0.75062,                 0.4915,                 1.4039,                0.87355,                 1.1175,              0.0012904,              0.0012904,              0.0012904
                     52,                 1.5596,                0.97476,                 1.1933,                0.82809,                0.69046,                0.76054,                0.46317,                 1.4593,                0.85879,                 1.1383,              0.0012875,              0.0012875,              0.0012875
                     53,                 1.5456,                0.93676,                 1.1632,                0.87109,                0.68029,                0.76551,                0.49458,                 1.3761,                0.83891,                 1.1102,              0.0012847,              0.0012847,              0.0012847
                     54,                 1.5443,                0.93922,                 1.1678,                0.86241,                0.68766,                0.77208,                0.48601,                 1.3889,                0.82657,                 1.1087,              0.0012819,              0.0012819,              0.0012819
                     55,                 1.5366,                 0.9337,                 1.1579,                0.89713,                0.64955,                0.76273,                0.49971,                 1.3936,                0.81963,                 1.1098,               0.001279,               0.001279,               0.001279
                     56,                 1.5431,                0.93041,                 1.1389,                  0.909,                0.64125,                0.76989,                0.50067,                 1.3606,                0.82112,                 1.0852,              0.0012762,              0.0012762,              0.0012762
                     57,                 1.5016,                0.92225,                 1.1504,                0.82804,                0.67596,                 0.7637,                0.50172,                 1.3553,                0.83328,                 1.0925,              0.0012734,              0.0012734,              0.0012734
                     58,                 1.5162,                0.92957,                 1.1542,                0.81699,                0.70867,                0.77253,                0.50221,                 1.3718,                0.82074,                 1.1021,              0.0012706,              0.0012706,              0.0012706
                     59,                 1.5086,                0.90993,                  1.145,                0.88984,                0.68072,                0.77226,                 0.4978,                 1.3855,                0.83622,                 1.1026,              0.0012677,              0.0012677,              0.0012677
