                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2997,                 5.0531,                 4.1852,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4025,                  4.684,                 4.2439,             0.00047066,             0.00047066,             0.00047066
                      2,                 4.9082,                  3.927,                 3.8241,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4328,                 4.6766,                 4.2555,             0.00094465,             0.00094465,             0.00094465
                      3,                 4.3966,                 3.4552,                 3.5097,                0.00854,                 0.0466,                0.00475,                0.00113,                   4.29,                 27.606,                 5.7147,              0.0014163,              0.0014163,              0.0014163
                      4,                 4.1274,                 3.1497,                 3.2359,                0.01051,                0.09155,                0.00627,                0.00186,                 3.7743,                 3.3683,                 3.0533,              0.0014184,              0.0014184,              0.0014184
                      5,                   3.92,                 2.9506,                 3.0428,                0.01191,                 0.0556,                0.00575,                0.00138,                 4.2786,                 16.608,                 3.2888,              0.0014184,              0.0014184,              0.0014184
                      6,                 3.7927,                 2.8808,                 2.7716,                0.04248,                0.09352,                 0.0179,                0.00487,                 3.7006,                 3.1507,                 2.5714,              0.0014149,              0.0014149,              0.0014149
                      7,                 3.7186,                 2.8086,                 2.5211,                0.14515,                  0.151,                0.07866,                0.02143,                 3.4508,                 2.6534,                 2.4675,              0.0014113,              0.0014113,              0.0014113
                      8,                 3.5745,                 2.6059,                 2.4564,                0.08337,                0.23993,                0.08208,                0.01856,                 3.3791,                 2.5108,                 2.3889,              0.0014078,              0.0014078,              0.0014078
                      9,                  3.484,                 2.5014,                 2.2927,                0.16186,                0.28812,                0.14853,                0.04767,                 3.0878,                 2.4409,                 2.2603,              0.0014042,              0.0014042,              0.0014042
                     10,                 3.3488,                 2.3887,                 2.2108,                0.22953,                0.31606,                0.17782,                0.05604,                 3.0696,                 2.2159,                 2.2572,              0.0014007,              0.0014007,              0.0014007
                     11,                 3.1929,                 2.2668,                 2.1283,                0.27718,                0.26171,                0.19639,                0.06507,                 2.9679,                 2.1265,                 2.0433,              0.0013972,              0.0013972,              0.0013972
                     12,                 3.0521,                 2.1427,                 2.0096,                0.24136,                0.28797,                0.19742,                0.06397,                 2.8903,                 2.0322,                 1.9487,              0.0013936,              0.0013936,              0.0013936
                     13,                 3.0657,                 2.0743,                 1.8798,                0.37094,                0.29602,                0.25988,                0.08587,                 2.8906,                 1.8782,                 1.9595,              0.0013901,              0.0013901,              0.0013901
                     14,                 2.8817,                 2.0148,                 1.8496,                0.38175,                0.27659,                0.28694,                0.11394,                 2.6513,                 1.9495,                 1.7893,              0.0013866,              0.0013866,              0.0013866
                     15,                 2.7952,                 1.9196,                 1.7575,                0.36466,                0.38627,                0.32257,                0.14918,                 2.5295,                 1.7187,                 1.6894,               0.001383,               0.001383,               0.001383
                     16,                 2.7069,                  1.844,                 1.7069,                 0.3393,                0.32595,                0.33158,                0.15963,                 2.5109,                 1.7308,                  1.662,              0.0013795,              0.0013795,              0.0013795
                     17,                 2.6796,                 1.8134,                 1.6813,                0.37341,                0.44424,                0.36128,                0.17683,                 2.4575,                  1.577,                 1.6381,              0.0013759,              0.0013759,              0.0013759
                     18,                 2.5748,                 1.7685,                 1.6341,                0.45986,                0.44779,                0.42004,                0.18744,                 2.4326,                 1.6733,                 1.5797,              0.0013724,              0.0013724,              0.0013724
                     19,                 2.5754,                 1.7704,                 1.5923,                 0.4833,                0.43386,                0.42698,                 0.2151,                 2.3537,                 1.5496,                 1.5368,              0.0013689,              0.0013689,              0.0013689
                     20,                 2.5137,                 1.7035,                 1.6366,                0.55524,                0.46626,                 0.4943,                0.25303,                 2.2534,                 1.4071,                 1.5225,              0.0013653,              0.0013653,              0.0013653
                     21,                 2.4149,                 1.6219,                 1.5375,                0.57026,                0.51526,                0.52314,                0.27167,                 2.2559,                 1.5074,                 1.4814,              0.0013618,              0.0013618,              0.0013618
                     22,                 2.3615,                 1.5916,                 1.5247,                0.51711,                0.57245,                0.55655,                0.30246,                 2.1364,                 1.4549,                 1.4465,              0.0013583,              0.0013583,              0.0013583
                     23,                 2.2963,                 1.5341,                 1.4713,                0.68599,                0.49925,                0.57968,                0.28367,                 2.0829,                 1.3694,                 1.4596,              0.0013547,              0.0013547,              0.0013547
                     24,                 2.2073,                 1.4297,                 1.4346,                 0.7485,                0.48756,                0.58823,                0.32446,                 2.0393,                 1.2934,                 1.4118,              0.0013512,              0.0013512,              0.0013512
                     25,                 2.1907,                 1.4178,                 1.4394,                0.68751,                0.55196,                0.59985,                0.31488,                 2.0642,                 1.3243,                 1.4086,              0.0013477,              0.0013477,              0.0013477
                     26,                 2.2013,                  1.437,                 1.4494,                0.63225,                0.54597,                0.60921,                0.35575,                 1.9753,                 1.2752,                 1.3665,              0.0013441,              0.0013441,              0.0013441
                     27,                 2.1156,                 1.3829,                  1.442,                0.82959,                0.50653,                0.63627,                 0.3769,                 1.8927,                 1.1854,                 1.3457,              0.0013406,              0.0013406,              0.0013406
                     28,                 2.0945,                 1.3608,                 1.4016,                0.82973,                0.55455,                0.65304,                0.37064,                 1.8797,                 1.1825,                 1.2981,               0.001337,               0.001337,               0.001337
                     29,                 2.0285,                 1.2852,                 1.3849,                0.87844,                0.55365,                0.66409,                 0.3868,                 1.8462,                 1.1431,                 1.2953,              0.0013335,              0.0013335,              0.0013335
                     30,                 2.0256,                 1.3289,                 1.3943,                0.86989,                 0.5493,                0.67011,                0.39182,                 1.7658,                 1.1156,                 1.2808,                0.00133,                0.00133,                0.00133
                     31,                   1.97,                  1.278,                 1.3537,                0.74739,                0.51725,                0.62539,                 0.3804,                 1.7395,                 1.1457,                 1.2743,              0.0013264,              0.0013264,              0.0013264
                     32,                 1.9069,                 1.2286,                 1.3104,                0.80948,                0.59106,                0.68073,                0.38253,                 1.7749,                 1.1031,                 1.2834,              0.0013229,              0.0013229,              0.0013229
                     33,                 1.9125,                 1.2386,                 1.3426,                0.81593,                0.58171,                0.68233,                0.40465,                 1.7371,                 1.0976,                 1.2528,              0.0013194,              0.0013194,              0.0013194
                     34,                 1.8513,                 1.1813,                 1.2777,                0.79562,                0.58128,                0.67714,                0.41492,                 1.6699,                 1.0434,                 1.2321,              0.0013158,              0.0013158,              0.0013158
                     35,                 1.8768,                 1.1988,                 1.3058,                0.83524,                 0.5698,                0.70528,                0.42402,                 1.6353,                 1.0272,                 1.2188,              0.0013123,              0.0013123,              0.0013123
