                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,5.2917,4.8766,4.2474,8.00E-05,0.02222,5.00E-05,1.00E-05,5.4788,5.626,4.1999,0.00046877,0.00046877,0.00046877
2,5.0473,4.2792,3.968,8.00E-05,0.02222,5.00E-05,1.00E-05,5.2146,6.125,4.1954,0.00094277,0.00094277,0.00094277
3,4.8095,3.8756,3.6731,0.34664,0.00725,0.00226,0.00049,5.2762,4.9945,3.92,0.0014144,0.0014144,0.0014144
4,4.3925,3.4148,3.4492,0.01228,0.05453,0.00699,0.00156,4.2873,12.968,3.487,0.0014184,0.0014184,0.0014184
5,4.1585,3.235,3.2938,0.01562,0.06542,0.0079,0.00195,4.3396,24.072,4.471,0.0014184,0.0014184,0.0014184
6,3.9962,3.0888,3.0747,0.01003,0.06302,0.00511,0.00127,4.3625,40.549,4.148,0.0014149,0.0014149,0.0014149
7,3.8781,2.8659,2.9221,0.0127,0.1457,0.00863,0.00225,3.8713,5.7583,2.7438,0.0014113,0.0014113,0.0014113
8,3.7491,2.7653,2.7403,0.018,0.13437,0.01086,0.00258,3.8724,6.4455,2.6084,0.0014078,0.0014078,0.0014078
9,3.7263,2.7167,2.4965,0.04413,0.02841,0.02916,0.0066,4.2873,3.1419,2.8437,0.0014042,0.0014042,0.0014042
10,3.6131,2.6529,2.4785,0.19514,0.15989,0.131,0.04563,3.396,2.6218,2.4089,0.0014007,0.0014007,0.0014007
11,3.5032,2.5125,2.3142,0.23341,0.2346,0.14662,0.04514,3.2986,2.5318,2.2717,0.0013972,0.0013972,0.0013972
12,3.3691,2.3995,2.2726,0.22904,0.13823,0.11765,0.03194,3.3435,2.3878,2.3606,0.0013936,0.0013936,0.0013936
13,3.2349,2.3091,2.1485,0.17046,0.2488,0.11754,0.04066,3.0823,2.331,2.0466,0.0013901,0.0013901,0.0013901
14,3.1895,2.209,2.1347,0.37312,0.33338,0.21596,0.07587,3.1721,2.199,2.0675,0.0013866,0.0013866,0.0013866
