                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2917,                 4.8766,                 4.2474,                  8e-05,                0.02222,                  5e-05,                  1e-05,                 5.4788,                  5.626,                 4.1999,             0.00046877,             0.00046877,             0.00046877
                      2,                 5.0467,                 4.2784,                 3.9686,                  8e-05,                0.02222,                  5e-05,                  1e-05,                 5.2158,                 6.1237,                  4.195,             0.00094323,             0.00094323,             0.00094323
                      3,                 4.8029,                  3.872,                 3.6665,                0.37102,                0.00466,                0.00192,                0.00042,                 5.3086,                 5.2162,                 3.9763,              0.0014158,              0.0014158,              0.0014158
                      4,                 4.3935,                 3.4109,                 3.4497,                0.00824,                0.06977,                0.00481,                0.00117,                 4.3821,                 5.8355,                 3.4068,              0.0014205,              0.0014205,              0.0014205
                      5,                 4.1601,                 3.2334,                 3.3071,                0.01114,                0.05373,                0.00555,                0.00125,                 4.2563,                 27.327,                 4.4349,              0.0014205,              0.0014205,              0.0014205
                      6,                 3.9877,                 3.1103,                  3.075,                0.01354,                0.05574,                0.00645,                0.00155,                 4.3078,                 18.512,                 3.7462,              0.0014177,              0.0014177,              0.0014177
                      7,                 3.8613,                  2.881,                 2.9193,                0.34398,                0.15459,                0.00764,                 0.0023,                 3.8922,                 6.3033,                  2.815,              0.0014149,              0.0014149,              0.0014149
                      8,                 3.7497,                 2.7589,                 2.7349,                0.01546,                0.12116,                0.00899,                0.00229,                 3.8914,                 6.1909,                 2.6872,               0.001412,               0.001412,               0.001412
                      9,                 3.7273,                 2.6938,                 2.4877,                0.02871,                 0.1215,                0.02263,                0.00633,                 3.8024,                 3.1837,                 2.5471,              0.0014092,              0.0014092,              0.0014092
                     10,                 3.6092,                   2.62,                 2.4637,                0.16914,                0.13602,                 0.1032,                 0.0301,                 3.6171,                 2.5859,                  2.475,              0.0014064,              0.0014064,              0.0014064
