                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3615,                 5.3349,                 4.1968,                0.00011,                0.02469,                  7e-05,                  2e-05,                  5.414,                 4.7982,                 4.2277,              0.0004699,              0.0004699,              0.0004699
                      2,                 5.0228,                 4.2102,                 3.8898,                0.00011,                0.02469,                  7e-05,                  2e-05,                 5.4614,                 5.2296,                 4.3576,             0.00094436,             0.00094436,             0.00094436
                      3,                 4.7105,                 3.6335,                 3.6058,                0.00948,                0.06646,                0.00519,                0.00135,                 4.3145,                 137.73,                 6.9738,              0.0014169,              0.0014169,              0.0014169
                      4,                  4.185,                 3.2757,                 3.3673,                0.34471,                0.05849,                0.00619,                0.00144,                 4.5442,                 54.302,                 5.5316,              0.0014205,              0.0014205,              0.0014205
                      5,                 4.0407,                 3.0142,                 3.1662,                0.01095,                0.10426,                  0.008,                0.00172,                 4.4454,                 47.826,                 3.7341,              0.0014205,              0.0014205,              0.0014205
                      6,                 3.8864,                 2.9052,                 2.9004,                 0.0224,                0.15931,                0.01649,                0.00369,                 3.8579,                 3.2754,                 2.7246,              0.0014177,              0.0014177,              0.0014177
                      7,                 3.7628,                 2.7857,                 2.7134,                0.01514,                0.05964,                0.00905,                0.00233,                 3.9215,                 7.8791,                 2.6731,              0.0014149,              0.0014149,              0.0014149
                      8,                 3.6736,                  2.738,                 2.5088,                0.07748,                0.11797,                0.04807,                0.01627,                 3.5778,                 2.6179,                 2.4171,               0.001412,               0.001412,               0.001412
                      9,                 3.4901,                 2.5348,                 2.4143,                0.15077,                0.19005,                0.08297,                0.03082,                 3.3952,                 2.5958,                 2.2506,              0.0014092,              0.0014092,              0.0014092
                     10,                 3.3648,                 2.4132,                 2.2279,                0.24539,                0.19541,                0.12652,                0.04267,                  3.158,                 2.3634,                 2.2991,              0.0014064,              0.0014064,              0.0014064
                     11,                 3.2558,                 2.3198,                 2.1476,                0.13799,                0.21052,                0.07519,                0.02625,                 3.3797,                 3.4333,                 2.1692,              0.0014035,              0.0014035,              0.0014035
                     12,                 3.1565,                 2.2358,                 2.0841,                0.23677,                0.34582,                0.19222,                0.07778,                 2.9655,                 2.1594,                 1.9982,              0.0014007,              0.0014007,              0.0014007
                     13,                 3.0219,                 2.1354,                 1.9632,                0.31564,                0.27636,                0.20399,                0.08515,                 2.8006,                  2.279,                 1.9402,              0.0013979,              0.0013979,              0.0013979
                     14,                 2.9741,                 2.0863,                 1.9345,                0.31121,                0.28511,                0.22858,                0.09238,                 2.8168,                 2.1437,                 1.8928,               0.001395,               0.001395,               0.001395
                     15,                 2.9759,                 2.0482,                 1.8235,                0.33756,                0.33395,                0.26111,                0.10205,                 2.8057,                 1.9295,                 1.8432,              0.0013922,              0.0013922,              0.0013922
                     16,                 2.8091,                 1.9588,                 1.8102,                0.29548,                0.31886,                0.27754,                0.12469,                 2.5604,                 1.9122,                 1.6799,              0.0013894,              0.0013894,              0.0013894
                     17,                 2.7505,                 1.9162,                 1.7442,                0.33225,                0.36178,                0.30297,                0.13936,                 2.5246,                 1.7838,                 1.6741,              0.0013866,              0.0013866,              0.0013866
                     18,                 2.6316,                 1.8061,                 1.6656,                0.49024,                0.36332,                0.35696,                0.16407,                  2.403,                 1.6775,                 1.6025,              0.0013837,              0.0013837,              0.0013837
                     19,                 2.5992,                 1.8111,                 1.6604,                0.43534,                0.36906,                0.36509,                0.18413,                 2.4012,                 1.6436,                 1.6003,              0.0013809,              0.0013809,              0.0013809
