                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2422,                 1.4592,                 1.4721,                0.65723,                0.42038,                0.53229,                0.26638,                 2.0811,                 1.3407,                  1.372,              0.0012781,              0.0012781,              0.0012781
                     35,                 2.2194,                 1.4815,                 1.4647,                0.58409,                0.55546,                0.57642,                0.29259,                 2.1323,                 1.3031,                 1.3431,              0.0012734,              0.0012734,              0.0012734
                     36,                  2.141,                 1.4454,                 1.4554,                0.60635,                0.52136,                0.54229,                0.26862,                 2.0136,                 1.2617,                 1.3366,              0.0012687,              0.0012687,              0.0012687
                     37,                 2.1357,                 1.4072,                 1.4126,                 0.5951,                0.57001,                0.54286,                0.29525,                 1.8921,                  1.178,                 1.3022,               0.001264,               0.001264,               0.001264
                     38,                 2.0755,                 1.3687,                 1.4293,                0.77272,                 0.5262,                0.61863,                0.34651,                 1.8858,                 1.1408,                 1.3115,              0.0012592,              0.0012592,              0.0012592
                     39,                 2.0466,                 1.3437,                   1.41,                 0.6877,                0.54289,                0.61557,                0.34091,                 1.8897,                 1.1874,                 1.3026,              0.0012545,              0.0012545,              0.0012545
                     40,                 2.0256,                 1.3387,                 1.4002,                0.71321,                0.53854,                0.57419,                0.32887,                 1.8264,                 1.1399,                  1.279,              0.0012498,              0.0012498,              0.0012498
                     41,                 2.0112,                 1.2812,                 1.3699,                0.67086,                0.54123,                0.59968,                0.34569,                  1.833,                 1.1553,                 1.2908,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.9838,                 1.2855,                 1.3892,                0.72401,                0.55327,                0.61475,                0.33701,                 1.8475,                 1.1167,                 1.2692,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.9554,                 1.2703,                 1.3385,                0.72399,                0.58336,                0.63047,                 0.3665,                  1.773,                 1.1007,                 1.2456,              0.0012357,              0.0012357,              0.0012357
                     44,                 1.9187,                 1.2397,                 1.3299,                0.71964,                0.60785,                0.64312,                0.34914,                 1.8455,                 1.1077,                 1.2692,              0.0012309,              0.0012309,              0.0012309
                     45,                   1.97,                 1.2268,                 1.3492,                0.78144,                0.56126,                0.65587,                 0.3812,                 1.7571,                 1.0656,                 1.2237,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.9367,                 1.2222,                 1.3167,                0.75347,                0.59792,                0.62433,                0.35459,                 1.7584,                 1.0273,                 1.2244,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.9392,                 1.2058,                 1.3278,                0.75488,                0.58812,                0.62509,                 0.3689,                 1.6746,                 1.0109,                 1.2133,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.8259,                 1.1468,                 1.2748,                0.71678,                0.59997,                0.61799,                0.35032,                 1.6834,                 1.0073,                 1.2321,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.8535,                 1.1596,                 1.3291,                0.80877,                0.59328,                0.66841,                0.39943,                 1.6253,                0.98491,                 1.2087,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.7971,                  1.152,                 1.2922,                0.71955,                0.64343,                 0.6498,                0.37581,                  1.636,                 1.0057,                 1.1927,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.7821,                 1.1462,                 1.3059,                0.76778,                0.60139,                0.65977,                0.39425,                 1.6465,                0.97278,                 1.1906,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.7526,                 1.1087,                 1.2736,                0.81507,                0.59712,                0.66886,                0.40332,                 1.5921,                0.95162,                 1.1809,              0.0011932,              0.0011932,              0.0011932
                     53,                 1.7407,                  1.093,                 1.2676,                0.77047,                0.61682,                0.65251,                0.38271,                 1.5748,                0.95334,                 1.1777,              0.0011885,              0.0011885,              0.0011885
                     54,                 1.7967,                 1.0923,                 1.2607,                0.80574,                 0.6172,                0.67127,                0.40738,                 1.6181,                0.97879,                 1.1677,              0.0011838,              0.0011838,              0.0011838
                     55,                 1.7713,                 1.1213,                 1.2741,                0.77999,                0.63463,                0.67293,                0.40006,                 1.6506,                0.98351,                 1.1778,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.7678,                 1.1282,                 1.2825,                0.72386,                0.64257,                0.66943,                 0.3929,                 1.6361,                0.95545,                 1.1726,              0.0011744,              0.0011744,              0.0011744
                     57,                 1.7626,                 1.0843,                 1.2441,                0.70773,                0.63379,                0.63952,                0.36269,                 1.6401,                0.95494,                 1.1655,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.7367,                 1.0729,                 1.2498,                0.79437,                 0.5856,                0.64904,                0.38644,                 1.5778,                0.94742,                 1.1541,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.7499,                 1.0692,                  1.252,                0.79195,                0.58412,                0.65282,                0.39355,                 1.5461,                 0.9662,                  1.162,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.7065,                 1.0624,                 1.2592,                0.74157,                0.62649,                0.65263,                0.38209,                 1.5911,                0.92429,                 1.1677,              0.0011555,              0.0011555,              0.0011555
                     61,                 1.6976,                  1.085,                 1.2536,                0.74901,                0.62799,                0.66212,                 0.3892,                 1.5509,                0.96671,                 1.1683,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.7071,                 1.0642,                 1.2578,                0.73598,                0.58255,                0.64168,                0.36069,                 1.6122,                0.94639,                 1.1614,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.6729,                 1.0374,                 1.2151,                0.81768,                0.60161,                0.67976,                0.42012,                 1.5115,                0.94859,                 1.1317,              0.0011413,              0.0011413,              0.0011413
                     64,                 1.6925,                 1.0672,                  1.224,                0.84154,                0.61184,                0.70069,                0.42672,                 1.5171,                0.91055,                 1.1288,              0.0011366,              0.0011366,              0.0011366
                     65,                 1.6628,                  1.064,                 1.2163,                0.80652,                0.60376,                0.69573,                 0.4283,                 1.5402,                0.93197,                 1.1299,              0.0011319,              0.0011319,              0.0011319
                     66,                 1.6719,                 1.0133,                 1.2043,                0.77446,                0.61879,                0.67176,                0.40869,                 1.5454,                0.91726,                 1.1451,              0.0011272,              0.0011272,              0.0011272
                     67,                 1.6525,                 1.0185,                 1.2137,                0.82633,                0.61242,                0.68626,                0.43331,                 1.4442,                 0.8834,                 1.1202,              0.0011225,              0.0011225,              0.0011225
                     68,                 1.6241,                 1.0248,                 1.2051,                0.83604,                0.60985,                0.69553,                0.42458,                 1.5064,                0.87377,                 1.1354,              0.0011178,              0.0011178,              0.0011178
                     69,                 1.6009,                0.98571,                 1.2087,                0.80734,                0.63212,                0.69629,                0.43373,                 1.4446,                0.86446,                 1.1158,               0.001113,               0.001113,               0.001113
                     70,                 1.5758,                0.97831,                 1.1905,                 0.8045,                0.65872,                0.69755,                0.41799,                 1.4449,                 0.8482,                 1.1077,              0.0011083,              0.0011083,              0.0011083
                     71,                  1.596,                0.98167,                 1.1718,                0.81146,                0.64311,                0.69722,                0.43286,                 1.4362,                0.86781,                 1.0951,              0.0011036,              0.0011036,              0.0011036
                     72,                 1.5636,                0.97967,                  1.173,                0.84314,                0.65301,                0.71245,                0.44648,                 1.4486,                0.84568,                 1.1053,              0.0010989,              0.0010989,              0.0010989
                     73,                 1.5503,                0.95075,                  1.166,                0.79532,                0.64853,                 0.7122,                0.46496,                 1.3999,                0.82249,                 1.0909,              0.0010942,              0.0010942,              0.0010942
                     74,                 1.5578,                 0.9469,                 1.1599,                0.84232,                 0.6447,                0.71373,                0.44787,                 1.4274,                0.82149,                 1.0985,              0.0010895,              0.0010895,              0.0010895
                     75,                 1.5346,                0.95238,                 1.1756,                0.86082,                0.65979,                0.72369,                0.44478,                 1.4211,                0.82433,                  1.086,              0.0010848,              0.0010848,              0.0010848
                     76,                 1.5438,                0.94469,                 1.1619,                0.77806,                0.64974,                0.71677,                0.46058,                 1.4227,                0.81947,                 1.0892,                0.00108,                0.00108,                0.00108
                     77,                 1.5547,                0.95583,                 1.1726,                0.84308,                0.65924,                0.71749,                0.47866,                 1.3564,                0.80338,                 1.0765,              0.0010753,              0.0010753,              0.0010753
                     78,                 1.5604,                0.94868,                 1.1853,                0.86834,                0.65019,                0.72035,                0.45591,                 1.4683,                 0.8264,                 1.0979,              0.0010706,              0.0010706,              0.0010706
                     79,                 1.5747,                0.96834,                 1.1726,                0.83379,                0.66609,                0.72023,                0.45343,                 1.4097,                0.81314,                 1.0817,              0.0010659,              0.0010659,              0.0010659
                     80,                 1.4719,                0.90542,                  1.146,                0.85405,                0.66155,                0.71859,                0.45576,                 1.4262,                0.79914,                 1.0861,              0.0010612,              0.0010612,              0.0010612
                     81,                 1.5181,                0.91969,                 1.1389,                0.84411,                0.66816,                0.72358,                0.46597,                 1.3682,                0.78844,                 1.0717,              0.0010565,              0.0010565,              0.0010565
                     82,                 1.5437,                0.94959,                 1.1737,                0.81101,                0.67984,                0.72331,                0.46407,                 1.3708,                0.79518,                 1.0682,              0.0010517,              0.0010517,              0.0010517
                     83,                 1.5129,                 0.9264,                 1.1362,                0.84644,                0.66147,                0.72858,                0.46346,                 1.3939,                 0.8044,                  1.075,               0.001047,               0.001047,               0.001047
                     84,                 1.4603,                0.90537,                  1.128,                0.86467,                0.64968,                0.72656,                0.44688,                 1.3717,                 0.7902,                 1.0651,              0.0010423,              0.0010423,              0.0010423
                     85,                 1.4754,                0.89827,                 1.1226,                0.82932,                0.66437,                0.72829,                0.44998,                 1.3754,                0.79068,                 1.0686,              0.0010376,              0.0010376,              0.0010376
                     86,                 1.4986,                0.90276,                 1.1363,                0.82101,                0.66943,                0.71875,                0.44578,                  1.359,                0.79044,                 1.0653,              0.0010329,              0.0010329,              0.0010329
                     87,                 1.4941,                0.90746,                 1.1325,                0.86803,                0.66328,                0.73724,                0.47599,                 1.3303,                0.78293,                 1.0533,              0.0010282,              0.0010282,              0.0010282
                     88,                  1.498,                 0.9253,                 1.1311,                0.79088,                0.64902,                0.69433,                0.42745,                 1.3643,                0.83186,                 1.0567,              0.0010234,              0.0010234,              0.0010234
                     89,                 1.4764,                0.89846,                 1.1332,                0.86269,                0.64625,                0.74118,                0.46753,                 1.3633,                0.78376,                 1.0683,              0.0010187,              0.0010187,              0.0010187
                     90,                 1.4915,                0.89569,                 1.1321,                0.90773,                0.64825,                0.74072,                0.46964,                  1.357,                0.77238,                 1.0518,               0.001014,               0.001014,               0.001014
                     91,                 1.4821,                0.90712,                 1.1382,                0.88067,                0.65345,                0.72993,                0.45866,                 1.3745,                0.78641,                 1.0684,              0.0010093,              0.0010093,              0.0010093
                     92,                 1.4378,                0.87736,                 1.1105,                0.81905,                0.64816,                 0.7166,                0.46215,                 1.3187,                0.78994,                 1.0487,              0.0010046,              0.0010046,              0.0010046
                     93,                 1.4403,                0.89707,                 1.1195,                0.86101,                0.67643,                 0.7376,                0.47163,                 1.3177,                0.78613,                 1.0433,             0.00099987,             0.00099987,             0.00099987
                     94,                 1.4541,                0.89817,                 1.1319,                0.87676,                0.65815,                0.73583,                0.46763,                 1.2984,                0.77365,                  1.046,             0.00099516,             0.00099516,             0.00099516
                     95,                  1.459,                0.89025,                 1.1296,                0.86847,                0.65341,                0.72786,                0.47195,                 1.3078,                 0.7595,                 1.0418,             0.00099044,             0.00099044,             0.00099044
                     96,                 1.4534,                0.87372,                  1.112,                0.82473,                0.66377,                0.71561,                0.45614,                 1.3274,                0.81643,                 1.0477,             0.00098572,             0.00098572,             0.00098572
                     97,                  1.427,                0.86506,                 1.1197,                0.85605,                0.65498,                0.73204,                0.47235,                 1.3448,                0.77287,                 1.0586,             0.00098101,             0.00098101,             0.00098101
                     98,                 1.4518,                0.88499,                  1.113,                0.82097,                0.67265,                0.73703,                0.48858,                 1.3395,                0.77249,                 1.0474,             0.00097629,             0.00097629,             0.00097629
                     99,                 1.4197,                0.85584,                 1.0907,                0.83709,                0.69204,                0.74282,                0.47218,                 1.2994,                0.74244,                 1.0358,             0.00097158,             0.00097158,             0.00097158
                    100,                 1.4004,                 0.8595,                  1.105,                0.89159,                0.65502,                0.74614,                0.49523,                 1.2887,                0.73884,                 1.0384,             0.00096686,             0.00096686,             0.00096686
                    101,                 1.4177,                0.84379,                 1.0976,                0.87544,                0.68636,                0.74775,                0.48317,                 1.2884,                0.75276,                 1.0409,             0.00096215,             0.00096215,             0.00096215
                    102,                 1.3814,                0.83626,                 1.0886,                0.82509,                0.69165,                0.74246,                0.49391,                 1.2855,                0.73799,                 1.0336,             0.00095743,             0.00095743,             0.00095743
                    103,                 1.4526,                0.88088,                 1.1474,                0.87192,                0.67583,                  0.745,                0.48537,                 1.3023,                0.74023,                 1.0295,             0.00095271,             0.00095271,             0.00095271
                    104,                 1.3663,                0.81605,                 1.0676,                0.84507,                0.69241,                0.75208,                0.49893,                 1.2589,                0.72236,                  1.018,               0.000948,               0.000948,               0.000948
                    105,                 1.3909,                 0.8305,                 1.0936,                0.83458,                0.67921,                0.74362,                0.49182,                 1.2617,                0.74678,                 1.0166,             0.00094328,             0.00094328,             0.00094328
                    106,                 1.3762,                0.82516,                 1.0967,                0.85781,                0.68622,                0.73569,                0.48222,                 1.2629,                0.74529,                 1.0256,             0.00093857,             0.00093857,             0.00093857
                    107,                 1.3585,                0.81391,                 1.0742,                0.83388,                0.67628,                0.74653,                0.50172,                 1.2406,                 0.7179,                 1.0198,             0.00093385,             0.00093385,             0.00093385
                    108,                 1.3609,                0.81323,                 1.0645,                 0.8599,                0.66684,                0.74919,                0.48591,                 1.2858,                0.72006,                 1.0235,             0.00092914,             0.00092914,             0.00092914
                    109,                 1.3397,                0.81307,                 1.0799,                0.80625,                0.66155,                0.74617,                0.49048,                 1.2494,                0.72145,                 1.0179,             0.00092442,             0.00092442,             0.00092442
                    110,                 1.3867,                0.82216,                 1.0942,                 0.8539,                0.66976,                0.74576,                0.49085,                 1.2631,                0.73003,                 1.0206,              0.0009197,              0.0009197,              0.0009197
                    111,                 1.3252,                 0.8049,                 1.0905,                0.84356,                 0.6954,                0.75096,                0.49569,                 1.2298,                0.70931,                 1.0133,             0.00091499,             0.00091499,             0.00091499
                    112,                 1.3277,                0.81233,                 1.0862,                0.84883,                0.68081,                0.75186,                0.50031,                  1.219,                0.70592,                 1.0122,             0.00091027,             0.00091027,             0.00091027
                    113,                 1.3703,                0.83067,                 1.0831,                0.85697,                0.69309,                0.74711,                0.49489,                 1.2417,                0.71589,                 1.0045,             0.00090556,             0.00090556,             0.00090556
                    114,                 1.3294,                0.79689,                 1.0555,                0.87674,                0.66273,                0.75023,                0.50516,                 1.1943,                0.69743,                 1.0013,             0.00090084,             0.00090084,             0.00090084
                    115,                 1.3429,                0.79947,                 1.0786,                 0.8863,                0.66165,                0.75687,                 0.5021,                  1.237,                0.70903,                 1.0111,             0.00089613,             0.00089613,             0.00089613
                    116,                 1.3253,                0.79271,                 1.0658,                0.83977,                0.69351,                0.75566,                 0.5077,                 1.2103,                0.69622,                0.99567,             0.00089141,             0.00089141,             0.00089141
