                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2917,                 4.8766,                 4.2474,                  8e-05,                0.02222,                  5e-05,                  1e-05,                 5.4788,                  5.626,                 4.1999,             0.00046877,             0.00046877,             0.00046877
                      2,                 5.0507,                 4.2808,                 3.9679,                  8e-05,                0.02222,                  5e-05,                  1e-05,                 5.2151,                 6.1284,                 4.1951,             0.00094043,             0.00094043,             0.00094043
                      3,                 4.8047,                 3.8725,                 3.6691,                0.34343,                0.00673,                0.00221,                0.00047,                  5.311,                 5.1811,                 3.9556,              0.0014074,              0.0014074,              0.0014074
                      4,                  4.404,                 3.4142,                 3.4456,                0.01324,                0.05139,                0.00568,                0.00143,                  4.349,                 5.5181,                  3.348,              0.0014078,              0.0014078,              0.0014078
                      5,                  4.168,                 3.2564,                 3.3054,                 0.0102,                0.04472,                0.00558,                0.00138,                 4.1417,                 9.6561,                  3.319,              0.0014078,              0.0014078,              0.0014078
                      6,                 3.9997,                 3.1091,                 3.0781,                0.01213,                0.06443,                 0.0066,                0.00155,                 4.2978,                 14.614,                 3.9082,              0.0014007,              0.0014007,              0.0014007
                      7,                 3.8705,                 2.8655,                 2.9245,                0.01974,                0.12247,                0.01059,                 0.0028,                 3.8447,                 4.1094,                 2.7828,              0.0013936,              0.0013936,              0.0013936
                      8,                 3.7519,                  2.771,                 2.7499,                0.01437,                0.10011,                0.00908,                0.00235,                 3.8791,                 6.7669,                 2.6389,              0.0013866,              0.0013866,              0.0013866
                      9,                 3.7427,                 2.6944,                 2.5066,                0.02593,                0.25887,                0.03494,                0.01101,                 3.8282,                  2.824,                 2.5959,              0.0013795,              0.0013795,              0.0013795
                     10,                 3.6027,                 2.6243,                 2.4814,                0.22698,                0.16439,                0.10923,                0.03279,                 3.4992,                 2.6573,                 2.3646,              0.0013724,              0.0013724,              0.0013724
                     11,                 3.4984,                 2.5374,                  2.321,                0.21122,                0.17738,                0.13678,                0.04158,                 3.3124,                 2.4053,                 2.2911,              0.0013653,              0.0013653,              0.0013653
                     12,                 3.3974,                 2.4404,                 2.2918,                0.12232,                 0.2064,                0.09933,                0.03323,                 3.3003,                 2.7524,                 2.1927,              0.0013583,              0.0013583,              0.0013583
                     13,                 3.3151,                 2.3604,                  2.171,                0.28183,                0.23542,                 0.1634,                  0.057,                 3.1803,                 2.2448,                 2.1772,              0.0013512,              0.0013512,              0.0013512
                     14,                 3.2014,                 2.2553,                 2.1414,                0.16725,                0.24063,                0.13073,                0.04835,                 3.1678,                 2.5292,                 2.0319,              0.0013441,              0.0013441,              0.0013441
                     15,                 3.1165,                 2.1622,                 2.0429,                0.32357,                0.27693,                0.22689,                0.08949,                 3.0303,                 2.0513,                 1.9707,               0.001337,               0.001337,               0.001337
                     16,                 3.0216,                 2.1272,                 2.0479,                0.33122,                0.29919,                0.24657,                0.10155,                 2.8252,                 1.9817,                 1.8349,                0.00133,                0.00133,                0.00133
                     17,                 2.9408,                 2.0642,                 1.8726,                0.32436,                0.31661,                0.25528,                0.09249,                 2.7211,                 1.8268,                 1.8703,              0.0013229,              0.0013229,              0.0013229
                     18,                 2.8712,                 1.9734,                 1.8694,                0.42965,                 0.2898,                0.30302,                0.13363,                 2.8709,                 1.8083,                 1.8009,              0.0013158,              0.0013158,              0.0013158
                     19,                 2.7643,                 1.8741,                 1.8119,                0.45919,                0.31146,                0.30073,                0.11941,                 2.6973,                 1.8661,                 1.7139,              0.0013087,              0.0013087,              0.0013087
                     20,                 2.6684,                 1.8896,                  1.742,                0.44859,                0.34893,                0.31196,                0.13104,                 2.7971,                 1.8176,                 1.7223,              0.0013017,              0.0013017,              0.0013017
                     21,                 2.7005,                 1.7665,                 1.7455,                0.42909,                0.34289,                0.31338,                0.13765,                 2.7065,                 1.6924,                 1.6851,              0.0012946,              0.0012946,              0.0012946
                     22,                 2.6622,                 1.8229,                 1.7134,                0.42969,                0.35704,                0.34723,                0.16168,                 2.5444,                 1.6291,                 1.6115,              0.0012875,              0.0012875,              0.0012875
                     23,                 2.6496,                  1.784,                 1.6596,                0.45643,                0.39912,                0.38392,                0.18292,                 2.4021,                 1.5712,                 1.5637,              0.0012805,              0.0012805,              0.0012805
                     24,                 2.5307,                 1.7071,                 1.6762,                0.55482,                0.36919,                0.41115,                0.21548,                 2.3603,                  1.554,                  1.534,              0.0012734,              0.0012734,              0.0012734
                     25,                 2.5049,                 1.6943,                 1.6734,                0.58555,                0.40237,                0.43765,                0.22196,                 2.2774,                 1.5048,                 1.5146,              0.0012663,              0.0012663,              0.0012663
                     26,                  2.423,                 1.6665,                 1.6259,                0.52001,                0.39427,                0.43868,                0.22727,                 2.2618,                  1.445,                 1.5125,              0.0012592,              0.0012592,              0.0012592
                     27,                 2.3931,                  1.669,                 1.6106,                0.49605,                0.45647,                0.45542,                0.22671,                 2.2226,                 1.4553,                 1.4987,              0.0012522,              0.0012522,              0.0012522
                     28,                  2.375,                 1.5662,                 1.5957,                0.61769,                0.41521,                0.48563,                0.22789,                 2.1509,                 1.3653,                 1.4652,              0.0012451,              0.0012451,              0.0012451
                     29,                  2.364,                 1.5731,                 1.5875,                 0.4747,                0.41835,                0.47138,                0.23599,                  2.169,                 1.5456,                 1.4175,               0.001238,               0.001238,               0.001238
                     30,                 2.4888,                 1.5728,                 1.5667,                0.43594,                0.43222,                0.47697,                0.22072,                   2.34,                 1.5348,                  1.454,              0.0012309,              0.0012309,              0.0012309
                     31,                 2.3811,                 1.5822,                 1.5738,                0.63798,                0.45487,                0.52341,                0.26754,                 2.1723,                 1.4009,                 1.4173,              0.0012239,              0.0012239,              0.0012239
                     32,                 2.3297,                 1.4907,                 1.5016,                0.64529,                0.46016,                0.52603,                0.28051,                 2.1143,                 1.2924,                 1.4135,              0.0012168,              0.0012168,              0.0012168
                     33,                 2.2461,                 1.4497,                 1.4703,                0.71501,                0.51844,                0.58253,                0.30475,                 2.0412,                 1.2462,                 1.3882,              0.0012097,              0.0012097,              0.0012097
                     34,                 2.2206,                 1.4512,                 1.4878,                0.79298,                0.48129,                 0.5864,                0.30692,                 2.0118,                 1.2604,                 1.3776,              0.0012026,              0.0012026,              0.0012026
                     35,                 2.1568,                 1.4414,                 1.4739,                0.75868,                0.45748,                0.59266,                0.32971,                 1.9622,                 1.2592,                 1.3541,              0.0011956,              0.0011956,              0.0011956
