                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,5.3615,5.3349,4.1968,0.00011,0.02469,7.00E-05,2.00E-05,5.414,4.7982,4.2277,0.0004699,0.0004699,0.0004699
2,5.0258,4.2102,3.8908,0.00011,0.02469,7.00E-05,2.00E-05,5.4632,5.2272,4.358,0.00093686,0.00093686,0.00093686
3,4.7116,3.6338,3.605,0.00928,0.07199,0.00574,0.0015,4.2583,92.334,6.2542,0.0013944,0.0013944,0.0013944
4,4.1907,3.2631,3.372,0.01044,0.06306,0.00596,0.00144,4.4207,31.776,4.9391,0.0013866,0.0013866,0.0013866
5,4.03,3.0268,3.1869,0.0123,0.10224,0.00792,0.00182,4.2274,15.936,3.2469,0.0013866,0.0013866,0.0013866
6,3.8998,2.92,2.9287,0.01935,0.04021,0.00971,0.00243,4.0735,7.4232,2.9095,0.0013724,0.0013724,0.0013724
7,3.773,2.7924,2.7357,0.35189,0.03905,0.00981,0.00258,3.8298,7.8212,2.6405,0.0013583,0.0013583,0.0013583
8,3.6599,2.7516,2.5288,0.11912,0.13506,0.05977,0.01899,3.3891,2.5759,2.3877,0.0013441,0.0013441,0.0013441
9,3.4769,2.5457,2.4101,0.20553,0.2059,0.11413,0.03782,3.5211,2.5247,2.4622,0.00133,0.00133,0.00133
10,3.3482,2.4456,2.2485,0.2821,0.21711,0.15417,0.05387,3.1169,2.347,2.275,0.0013158,0.0013158,0.0013158
11,3.2513,2.3458,2.1643,0.25125,0.22618,0.14311,0.05672,3.0124,2.2576,2.1117,0.0013017,0.0013017,0.0013017
12,3.1513,2.2494,2.104,0.27662,0.25857,0.19222,0.0807,2.8925,2.1701,1.9652,0.0012875,0.0012875,0.0012875
13,3.0398,2.153,1.9844,0.42131,0.25359,0.21337,0.0763,2.9746,2.2045,1.9807,0.0012734,0.0012734,0.0012734
14,2.9837,2.0959,1.9585,0.31234,0.30116,0.27229,0.10638,2.7414,2.0161,1.8805,0.0012592,0.0012592,0.0012592
15,3.004,2.028,1.8149,0.33151,0.33609,0.26911,0.124,2.7541,2.1913,1.8493,0.0012451,0.0012451,0.0012451
16,2.8382,1.9624,1.8166,0.39449,0.34765,0.31344,0.16673,2.6238,1.9201,1.734,0.0012309,0.0012309,0.0012309
17,2.7449,1.9158,1.756,0.43011,0.3678,0.34045,0.17045,2.5577,1.7516,1.7113,0.0012168,0.0012168,0.0012168
18,2.6402,1.7825,1.6819,0.52483,0.3348,0.36988,0.18728,2.4407,1.7162,1.6046,0.0012026,0.0012026,0.0012026
