                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2997,                 5.0531,                 4.1852,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4025,                  4.684,                 4.2439,             0.00047066,             0.00047066,             0.00047066
                      2,                 4.9119,                 3.9268,                 3.8235,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4358,                 4.6772,                 4.2589,             0.00094387,             0.00094387,             0.00094387
                      3,                 4.3946,                 3.4587,                 3.5058,                0.01218,                0.04211,                0.00651,                0.00114,                 4.3934,                 89.589,                 6.8549,              0.0014139,              0.0014139,              0.0014139
                      4,                 4.0997,                 3.1187,                 3.2413,                0.34473,                0.07894,                0.00604,                0.00152,                 3.8384,                 4.4241,                 3.1849,              0.0014149,              0.0014149,              0.0014149
                      5,                 3.9381,                 2.9947,                 3.0409,                0.01467,                0.11367,                0.00927,                0.00259,                  3.717,                 2.9723,                 2.8829,              0.0014149,              0.0014149,              0.0014149
                      6,                 3.7774,                 2.8938,                 2.7734,                0.01452,                0.10633,                0.01005,                0.00231,                 4.3429,                 12.251,                  2.826,              0.0014101,              0.0014101,              0.0014101
                      7,                  3.724,                 2.7947,                 2.5336,                0.14049,                0.13363,                0.07174,                0.02333,                 3.5142,                 2.8026,                 2.4133,              0.0014054,              0.0014054,              0.0014054
                      8,                  3.531,                 2.5825,                 2.4367,                0.20543,                0.12649,                0.09834,                0.03055,                 3.5315,                 2.5063,                 2.5184,              0.0014007,              0.0014007,              0.0014007
                      9,                 3.4025,                 2.4414,                 2.2551,                0.25097,                0.15274,                0.12122,                0.03398,                 3.4302,                 2.5227,                 2.3802,               0.001396,               0.001396,               0.001396
                     10,                 3.2971,                  2.322,                 2.1726,                0.28745,                0.26476,                0.18504,                0.04564,                  3.197,                 2.0803,                 2.2477,              0.0013913,              0.0013913,              0.0013913
                     11,                 3.1487,                 2.2248,                 2.0916,                0.15963,                0.31271,                0.11616,                0.03509,                 3.0416,                 2.5363,                 2.0458,              0.0013866,              0.0013866,              0.0013866
                     12,                 3.0093,                 2.1109,                 1.9807,                 0.2763,                0.30598,                0.23709,                0.08718,                 2.8998,                 2.0224,                 1.8948,              0.0013818,              0.0013818,              0.0013818
                     13,                 2.9986,                 2.0531,                 1.8532,                0.39213,                0.26617,                0.27174,                0.09301,                 2.7287,                 1.8681,                 1.8722,              0.0013771,              0.0013771,              0.0013771
                     14,                 2.8184,                 1.9998,                 1.7984,                 0.2754,                0.34904,                0.24147,                0.09348,                 2.6553,                 2.0836,                 1.7698,              0.0013724,              0.0013724,              0.0013724
                     15,                 2.7281,                 1.8784,                 1.7173,                0.33457,                0.38702,                0.33805,                0.14705,                 2.4841,                 1.6526,                  1.698,              0.0013677,              0.0013677,              0.0013677
                     16,                 2.6497,                 1.8275,                  1.676,                0.34829,                0.36389,                0.34365,                0.16443,                 2.4699,                 1.6584,                 1.6409,               0.001363,               0.001363,               0.001363
                     17,                 2.5838,                  1.798,                 1.6413,                0.44273,                0.41671,                 0.3941,                0.19107,                 2.3902,                 1.5975,                 1.6075,              0.0013583,              0.0013583,              0.0013583
                     18,                 2.5201,                 1.7204,                 1.6144,                0.52577,                0.37833,                0.43554,                0.20664,                 2.2745,                 1.4906,                 1.5382,              0.0013535,              0.0013535,              0.0013535
                     19,                 2.4861,                 1.7015,                 1.5638,                0.54525,                0.45774,                0.49573,                0.24556,                 2.2751,                  1.419,                 1.5325,              0.0013488,              0.0013488,              0.0013488
                     20,                 2.4467,                 1.6669,                 1.5993,                0.68233,                0.51357,                0.54482,                0.26097,                 2.2561,                 1.3788,                 1.5319,              0.0013441,              0.0013441,              0.0013441
                     21,                 2.3608,                 1.5785,                 1.5259,                0.69969,                0.47099,                0.54378,                0.25869,                 2.3163,                 1.4083,                   1.51,              0.0013394,              0.0013394,              0.0013394
                     22,                 2.3037,                 1.5388,                 1.4937,                0.60458,                0.56221,                0.58052,                0.31705,                 2.1145,                 1.3795,                 1.4495,              0.0013347,              0.0013347,              0.0013347
                     23,                 2.2889,                 1.5285,                 1.4642,                0.66255,                0.57506,                0.59229,                0.28746,                 2.0707,                 1.3444,                 1.4514,                0.00133,                0.00133,                0.00133
                     24,                 2.2329,                  1.443,                 1.4455,                0.79058,                0.51336,                0.62702,                0.34698,                 2.0142,                 1.2731,                 1.4005,              0.0013253,              0.0013253,              0.0013253
                     25,                 2.1681,                 1.4229,                 1.4452,                0.64133,                0.57516,                 0.6149,                0.32308,                 2.0448,                 1.2376,                 1.4118,              0.0013205,              0.0013205,              0.0013205
                     26,                 2.2299,                 1.4335,                 1.4547,                 0.6825,                0.55233,                0.59075,                0.29915,                 2.1221,                 1.2911,                 1.3999,              0.0013158,              0.0013158,              0.0013158
                     27,                 2.1319,                  1.412,                 1.4608,                0.70419,                0.60841,                0.64754,                0.35008,                 1.9249,                 1.1885,                 1.3638,              0.0013111,              0.0013111,              0.0013111
                     28,                 2.0844,                 1.3619,                  1.409,                0.60089,                0.53973,                0.58233,                0.33093,                 1.8554,                 1.2407,                 1.3462,              0.0013064,              0.0013064,              0.0013064
                     29,                 2.0573,                 1.3135,                 1.4089,                0.76713,                0.56558,                0.65968,                0.37715,                 1.8195,                 1.1948,                 1.3187,              0.0013017,              0.0013017,              0.0013017
                     30,                 2.0423,                 1.3403,                  1.409,                0.79526,                0.58908,                0.66717,                0.36252,                 1.8427,                 1.1542,                 1.3254,               0.001297,               0.001297,               0.001297
                     31,                 2.0203,                  1.289,                 1.3774,                0.74132,                0.61844,                0.67878,                0.37963,                 1.8291,                  1.151,                   1.29,              0.0012922,              0.0012922,              0.0012922
                     32,                 1.9481,                 1.2532,                  1.329,                 0.8505,                0.54983,                0.69061,                0.39724,                 1.7876,                 1.0825,                 1.2913,              0.0012875,              0.0012875,              0.0012875
                     33,                 1.9668,                  1.287,                 1.3714,                0.69734,                0.60388,                0.69491,                0.36928,                 1.7676,                 1.0785,                 1.3101,              0.0012828,              0.0012828,              0.0012828
                     34,                   1.91,                 1.2164,                 1.3034,                0.80867,                0.61242,                0.68945,                0.40951,                 1.7316,                 1.0713,                 1.2659,              0.0012781,              0.0012781,              0.0012781
                     35,                 1.9415,                 1.2515,                 1.3369,                0.72592,                0.61404,                0.68372,                0.38051,                 1.8101,                 1.0808,                 1.2816,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.8615,                 1.1647,                 1.3129,                0.79759,                0.61261,                0.67889,                 0.4114,                 1.6612,                 1.0119,                 1.2327,              0.0012687,              0.0012687,              0.0012687
